member_noSource,Month,Total
8233,3,3598.10
7174,3,8178.50
4434,3,4392.30
7808,3,5193.10
9178,3,11323.40
8119,3,8595.40
5182,3,1444.30
2910,3,1763.30
4166,3,5461.50
6127,3,2982.10
5068,3,11573.10
5759,3,4020.50
7606,3,7838.60
5645,3,1965.70
7960,3,1664.30
5334,3,979.00
9496,3,12405.80
8126,3,5151.30
7224,3,2585.00
4173,3,1640.10
645,3,827.20
5963,3,2884.20
9337,3,10469.80
9026,3,9178.40
5227,3,8965.00
6172,3,903.10
9121,3,16421.90
3278,3,2250.60
5550,3,6669.30
9712,3,26178.90
8342,3,7194.00
7506,3,1197.90
3864,3,3824.70
7081,3,7473.40
6179,3,41.80
5868,3,3701.50
9085,3,4722.30
8026,3,5461.50
2494,3,3610.20
8971,3,6915.70
2392,3,1210.00
3648,3,2921.60
4707,3,2616.90
5920,3,7287.50
9714,3,12744.60
8812,3,619.30
3914,3,5172.20
9289,3,3472.70
7765,3,9732.80
8978,3,10244.30
3135,3,2818.20
6395,3,8564.60
9612,3,8735.10
8553,3,2255.00
2442,3,302.50
8508,3,3632.20
5291,3,6110.50
4232,3,3152.60
3921,3,23.10
7024,3,2181.30
3185,3,2964.50
4130,3,1998.70
7658,3,5119.40
913,3,1531.20
7233,3,3456.20
9662,3,983.40
4282,3,864.60
8558,3,9989.10
7188,3,2181.30
8444,3,10557.80
9814,3,13350.70
2912,3,988.90
7074,3,7793.50
9035,3,6373.40
8133,3,3015.10
8299,3,6179.80
7397,3,2289.10
7874,3,3267.00
1817,3,710.60
6093,3,3935.80
6561,3,3545.30
9778,3,21503.90
3707,3,4532.00
7983,3,1964.60
1549,3,5305.30
9987,3,19109.20
3085,3,2106.50
4341,3,3812.60
9562,3,4016.10
8503,3,6241.40
4932,3,1996.50
2971,3,4129.40
6511,3,3641.00
5452,3,2273.70
7088,3,3920.40
8344,3,7343.60
9246,3,8937.50
6663,3,7988.20
8033,3,10367.50
9569,3,15965.40
7297,3,19561.30
9144,3,4980.80
1340,3,5195.30
4868,3,7153.30
5927,3,2466.20
7774,3,13706.00
6872,3,9656.90
7406,3,790.90
1874,3,997.70
547,3,4055.70
9296,3,3295.60
2394,3,2868.80
3764,3,2119.70
6981,3,6151.20
8040,3,1089.00
9930,3,5156.80
3973,3,3461.70
8560,3,16278.90
4918,3,344.30
8135,3,3094.30
9982,3,16260.20
9080,3,2118.60
4607,3,1795.20
5141,3,4530.90
8401,3,4834.50
8712,3,14527.70
129,3,2960.10
4716,3,4771.80
9937,3,24251.70
9823,3,6850.80
3078,3,2657.60
7665,3,9480.90
8453,3,3220.80
7240,3,4057.90
7717,3,7766.00
6815,3,4662.90
9621,3,6286.50
8562,3,14966.60
4723,3,5922.40
8251,3,20828.50
9310,3,13036.10
6570,3,5437.30
9196,3,17073.10
3353,3,1710.50
4298,3,965.80
4464,3,4573.80
4775,3,10617.20
5834,3,3231.80
7090,3,9794.40
6779,3,6715.50
6354,3,6751.80
6665,3,4127.20
9882,3,24855.60
3982,3,4765.20
6297,3,16329.50
4927,3,9108.00
4305,3,9782.30
7522,3,3998.50
6506,3,4173.40
8778,3,3841.20
9837,3,8753.80
7097,3,4722.30
9412,3,16058.90
9723,3,25279.10
8042,3,8635.00
2553,3,1058.20
4514,3,1106.60
3030,3,4986.30
815,3,3891.80
5993,3,9279.60
1760,3,2632.30
2662,3,7767.10
6938,3,2696.10
4355,3,7344.70
6202,3,50.60
7572,3,3036.00
9773,3,6068.70
8092,3,9051.90
6722,3,2583.90
4407,3,2852.30
4984,3,3295.60
7299,3,8152.10
8358,3,111.10
8669,3,11840.40
9146,3,9413.80
6874,3,5516.50
8835,3,5190.90
9780,3,20048.60
7465,3,3098.70
606,3,4932.40
9469,3,7405.20
9355,3,4583.70
5402,3,4620.00
4146,3,1461.90
6247,3,13625.70
9464,3,7104.90
9153,3,11792.00
6413,3,6783.70
9630,3,21263.00
5157,3,6600.00
9319,3,3161.40
7358,3,2789.60
9362,3,5995.00
2149,3,2591.60
5366,3,4537.50
3996,3,605.00
6311,3,12289.20
7681,3,5702.40
8937,3,3367.10
7256,3,7539.40
5943,3,828.30
8101,3,1586.20
4459,3,3661.90
5829,3,2940.30
4148,3,4837.80
6463,3,2214.30
7365,3,854.70
6152,3,6066.50
9369,3,7307.30
2778,3,1092.30
6038,3,5000.60
2467,3,5225.00
4782,3,2228.60
8944,3,8716.40
6629,3,5528.60
9889,3,21728.30
6672,3,4966.50
7574,3,3225.20
7263,3,10886.70
9578,3,7744.00
9210,3,16641.90
3678,3,19.80
6470,3,4895.00
3887,3,5269.00
8785,3,1600.50
9687,3,7905.70
9730,3,2137.30
6990,3,9112.40
8360,3,229.90
6679,3,2615.80
5620,3,430.10
3462,3,301.40
4364,3,1695.10
8526,3,7592.20
5309,3,377.30
4250,3,694.10
6254,3,1013.10
9414,3,23518.00
8678,3,15879.60
7776,3,2759.90
7422,3,7268.80
5150,3,10270.70
1508,3,2327.60
6997,3,8680.10
6572,3,1938.20
7942,3,9369.80
4300,3,5357.00
9946,3,7301.80
3044,3,4073.30
6878,3,2370.50
7543,3,2057.00
7429,3,6976.20
6256,3,4037.00
9516,3,13173.60
7595,3,6319.50
4886,3,2580.60
3984,3,5240.40
8063,3,9782.30
5240,3,7511.90
6142,3,9259.80
9599,3,7484.40
2697,3,3774.10
8115,3,9389.60
7410,3,8605.30
9682,3,22963.60
8666,3,3333.00
7944,3,9934.10
4219,3,1752.30
9200,3,154.00
2932,3,2524.50
9098,3,19869.30
7645,3,7733.00
2664,3,2120.80
8279,3,9958.30
8165,3,364.10
9732,3,10853.70
3718,3,3027.20
7994,3,6699.00
9333,3,5073.20
6624,3,17195.20
5722,3,3675.10
7963,3,7012.50
4986,3,1140.70
4435,3,755.70
8514,3,4866.40
5774,3,4301.00
8597,3,6584.60
3616,3,5053.40
4518,3,7262.20
9034,3,17417.40
9936,3,28095.10
7227,3,12998.70
7861,3,3997.40
6491,3,8440.30
8044,3,14357.20
5221,3,3259.30
7493,3,16877.30
8749,3,3558.50
4670,3,1420.10
3851,3,5051.20
7930,3,3787.30
8832,3,3765.30
6009,3,6470.20
323,3,2443.10
5304,3,952.60
2564,3,3363.80
9903,3,34698.40
3115,3,2434.30
4371,3,3974.30
4537,3,1865.60
7911,3,6947.60
5088,3,7826.50
9167,3,2626.80
7780,3,1379.40
5071,3,4613.40
6410,3,10234.40
9233,3,11773.30
4221,3,4769.60
8497,3,4108.50
7127,3,5406.50
4772,3,3559.60
9131,3,9714.10
3599,3,1269.40
9836,3,22809.60
9017,3,7808.90
8312,3,1833.70
9214,3,16485.70
7761,3,15008.40
4119,3,4044.70
5489,3,4112.90
7476,3,5335.00
5121,3,4416.50
7830,3,3710.30
6543,3,1742.40
2464,3,4776.20
5838,3,10360.90
7177,3,3608.00
8547,3,4902.70
9886,3,12041.70
9067,3,11816.20
3181,3,3769.70
8599,3,14143.80
8231,3,4913.70
6156,3,5321.80
4703,3,3951.20
5140,3,5284.40
7412,3,2879.80
6707,3,2222.00
3967,3,6109.40
9416,3,8101.50
1695,3,31.90
5223,3,1229.80
9499,3,4645.30
9582,3,13426.60
4404,3,5525.30
8566,3,2869.90
3231,3,5062.20
1296,3,3340.70
8395,3,3498.00
5572,3,9324.70
7462,3,11108.90
6092,3,2700.50
2647,3,1938.20
9435,3,4888.40
9081,3,5737.60
8967,3,1568.60
3167,3,367.40
6892,3,118.80
7426,3,4106.30
8131,3,8977.10
3150,3,2901.80
2331,3,3151.50
9316,3,118.80
8765,3,12642.30
8029,3,10415.90
4304,3,5053.40
6576,3,12422.30
7210,3,4320.80
5757,3,763.40
9919,3,29639.50
9368,3,4314.20
7293,3,3885.20
4102,3,5462.60
377,3,2387.00
6106,3,1266.10
4185,3,2580.60
7362,3,4455.00
6894,3,14010.70
5441,3,8065.20
6075,3,6518.60
7445,3,6201.80
4705,3,3451.80
8981,3,4929.10
4000,3,5677.10
3449,3,2908.40
7528,3,3736.70
8867,3,8702.10
9335,3,18135.70
1177,3,3879.70
9615,3,11367.40
6792,3,6625.30
5422,3,3113.00
3969,3,3861.00
8048,3,3582.70
8245,3,10178.30
5054,3,9373.10
6424,3,5256.90
6861,3,1197.90
7058,3,4042.50
9684,3,8148.80
9767,3,18392.00
5688,3,6246.90
8314,3,138.60
9216,3,19031.10
8948,3,8497.50
8397,3,9914.30
4755,3,4783.90
2046,3,99.00
4204,3,3205.40
2129,3,4462.70
1310,3,672.10
3468,3,7975.00
9114,3,13162.60
7744,3,5469.20
2763,3,7250.10
4019,3,2898.50
7730,3,11316.80
7927,3,5459.30
7179,3,3516.70
3734,3,2948.00
7813,3,16057.80
5104,3,3424.30
7262,3,9982.50
6443,3,3489.20
9266,3,10336.70
8447,3,7027.90
5624,3,4753.10
6994,3,1511.40
7077,3,1642.30
2998,3,2227.50
9983,3,7706.60
2884,3,3078.90
9164,3,9799.90
9050,3,8175.20
7794,3,15791.60
7777,3,14380.30
9116,3,4464.90
2682,3,3131.70
8297,3,101.20
6025,3,4961.00
4104,3,3219.70
9750,3,13934.80
8931,3,920.70
7478,3,6706.70
8380,3,3996.30
659,3,5018.20
4738,3,4071.10
9014,3,5952.10
7561,3,8442.50
7644,3,7240.20
7998,3,2734.60
4821,3,1482.80
2466,3,3908.30
9097,3,5579.20
9451,3,12402.50
5004,3,8312.70
925,3,5025.90
9083,3,15210.80
4453,3,4550.70
3634,3,568.70
6343,3,4893.90
5524,3,14078.90
9883,3,12213.30
4351,3,1760.00
2162,3,1027.40
6241,3,2153.80
7580,3,4126.10
4871,3,141.90
2048,3,2053.70
9852,3,5357.00
7326,3,10226.70
8665,3,2291.30
3767,3,479.60
7846,3,10360.90
6476,3,3995.20
9299,3,2059.20
7929,3,14106.40
8563,3,7459.10
9933,3,3603.60
8449,3,4204.20
9902,3,15412.10
5455,3,1478.40
6711,3,5272.30
4002,3,4249.30
8081,3,4472.60
8278,3,7569.10
7345,3,3767.50
6794,3,973.50
5892,3,3757.60
5270,3,3113.00
1896,3,5087.50
4802,3,2714.80
9515,3,13213.20
6293,3,3499.10
8565,3,261.80
9199,3,9311.50
8648,3,7654.90
3750,3,3345.10
7912,3,6741.90
5203,3,3971.00
6459,3,4610.10
4187,3,2916.10
8463,3,15922.50
5723,3,1010.90
7093,3,7053.20
8698,3,18884.80
1796,3,3704.80
8147,3,3918.20
7245,3,8487.60
7879,3,2314.40
5170,3,9123.40
7411,3,1343.10
9332,3,1399.20
7962,3,9078.30
4320,3,1551.00
8045,3,14565.10
3064,3,458.70
8482,3,6691.30
6675,3,1327.70
8228,3,8987.00
2031,3,1288.10
5405,3,5031.40
9016,3,7207.20
8114,3,8872.60
5374,3,2361.70
9650,3,27896.00
8280,3,1433.30
7378,3,4808.10
9733,3,10810.80
1929,3,3615.70
6091,3,396.00
9351,3,6391.00
3819,3,1588.40
8800,3,966.90
3902,3,1337.60
1079,3,1497.10
6725,3,8445.80
7062,3,8567.90
5538,3,4849.90
5070,3,286.00
7696,3,1450.90
6877,3,3382.50
9866,3,583.00
6141,3,3952.30
4334,3,3173.50
5590,3,5379.00
4688,3,6650.60
8850,3,9446.80
7677,3,11568.70
8933,3,9061.80
2145,3,1908.50
7660,3,4825.70
4018,3,3157.00
8097,3,8314.90
9550,3,9927.50
6542,3,1126.40
7444,3,6150.10
3719,3,2349.60
2349,3,4429.70
2546,3,4191.00
8897,3,50.60
9334,3,2508.00
5255,3,9038.70
5172,3,5437.30
3802,3,10808.60
8966,3,17359.10
7513,3,8296.20
8415,3,4023.80
3517,3,5045.70
9049,3,10843.80
5407,3,756.80
9683,3,16436.20
5604,3,643.50
4037,3,425.70
3415,3,6271.10
8128,3,13750.00
5305,3,4809.20
3852,3,9561.20
8833,3,2517.90
8465,3,13774.20
1563,3,3171.30
9918,3,12059.30
5103,3,2938.10
4201,3,4332.90
2280,3,1364.00
7729,3,8285.20
4906,3,324.50
8363,3,18855.10
9265,3,12206.70
7812,3,11737.00
6993,3,15517.70
4170,3,2224.20
5540,3,3267.00
9816,3,30636.10
2997,3,720.50
5623,3,8012.40
3351,3,1816.10
8332,3,4843.30
4253,3,2233.00
7259,3,3825.80
6708,3,4537.50
7964,3,11930.60
7145,3,4441.80
6594,3,11474.10
9232,3,5061.10
8681,3,17318.40
4602,3,1838.10
7311,3,2484.90
7945,3,6869.50
6575,3,6667.10
2850,3,917.40
5122,3,3186.70
4220,3,5051.20
9398,3,7184.10
8579,3,15492.40
9835,3,13263.80
5756,3,4310.90
7126,3,15758.60
8382,3,5230.50
4837,3,2973.30
8365,3,3318.70
8999,3,6174.30
6290,3,4763.00
7712,3,750.20
9082,3,3447.40
6259,3,900.90
6342,3,11436.70
8263,3,4304.30
8346,3,14325.30
4267,3,6403.10
1444,3,2024.00
5523,3,4491.30
7527,3,2552.00
8429,3,4640.90
6976,3,7735.20
7413,3,4862.00
8061,3,1336.50
9317,3,4335.10
5238,3,13318.80
9400,3,8641.60
7045,3,4479.20
7947,3,11313.50
3600,3,1091.20
5872,3,7825.40
7128,3,5225.00
3049,3,4799.30
6309,3,154.00
9215,3,5705.70
860,3,3973.20
5022,3,1116.50
4120,3,4568.30
9298,3,8869.30
6475,3,10019.90
3652,3,2667.50
8479,3,3213.10
6544,3,2294.60
8816,3,5886.10
4469,3,4634.30
7997,3,7206.10
5257,3,3467.20
6824,3,15051.30
7261,3,1171.50
1729,3,1972.30
5891,3,3686.10
4438,3,6923.40
3733,3,1513.60
8714,3,4551.80
7895,3,9024.40
5974,3,2218.70
8683,3,5993.90
2446,3,334.40
7864,3,1453.10
1964,3,2602.60
4870,3,3900.60
2047,3,1554.30
9032,3,17957.50
5307,3,1027.40
4134,3,7717.60
4020,3,1477.30
7394,3,6782.60
5822,3,6788.10
5271,3,5029.20
9433,3,7084.00
9984,3,20680.00
1712,3,2292.40
7795,3,9084.90
7059,3,3326.40
3685,3,10091.40
7764,3,691.90
7396,3,10100.20
2498,3,892.10
5290,3,3613.50
5487,3,4415.40
5105,3,1793.00
7377,3,9171.80
8633,3,4349.40
4554,3,1813.90
3735,3,2393.60
7446,3,15315.30
8348,3,5797.00
9718,3,5074.30
4737,3,4836.70
1914,3,3316.50
6273,3,2940.30
7643,3,8596.50
8899,3,10104.60
6159,3,2567.40
4789,3,3190.00
5340,3,5443.90
9616,3,6981.70
6876,3,5044.60
2797,3,2770.90
4167,3,245.30
5423,3,4380.20
9585,3,6985.00
8880,3,4437.40
7847,3,7681.30
6591,3,2847.90
9768,3,3412.20
9851,3,9736.10
4319,3,1342.00
3666,3,3272.50
9749,3,23762.20
9198,3,12593.90
8379,3,4966.50
9281,3,9572.20
2847,3,4592.50
4103,3,837.10
9084,3,13926.00
7009,3,12007.60
7189,3,4000.70
9504,3,1992.10
3547,3,6772.70
8768,3,4527.60
1275,3,3564.00
3236,3,4089.80
4181,3,4711.30
9288,3,14216.40
8032,3,6469.10
5292,3,4869.70
6662,3,1664.30
8977,3,8709.80
5335,3,10904.30
9554,3,13223.10
4924,3,10663.40
7239,3,4398.90
5278,3,4662.90
8184,3,7275.40
3286,3,3228.50
6503,3,2317.70
4542,3,4733.30
6814,3,167.20
9129,3,9212.50
4074,3,2171.40
5133,3,2433.20
7759,3,3753.20
9295,3,14087.70
3972,3,5273.40
4283,3,100.10
7657,3,14333.00
6598,3,3114.10
7766,3,4191.00
6864,3,14815.90
7341,3,4517.70
8286,3,9179.50
7664,3,3282.40
9979,3,34072.50
3388,3,2904.00
8609,3,8283.00
1707,3,3952.30
5235,3,4912.60
9611,3,8500.80
4910,3,4856.50
9186,3,10968.10
4556,3,6538.40
6757,3,10752.50
4599,3,8323.70
9663,3,14474.90
4765,3,9018.90
8450,3,3980.90
2493,3,2357.30
7080,3,15468.20
7982,3,4250.40
7557,3,1428.90
8927,3,13025.10
7032,3,4775.10
5508,3,1986.60
6296,3,14468.30
5394,3,466.40
8611,3,5040.20
9556,3,27537.40
8934,3,5220.60
4233,3,1238.60
8820,3,14548.60
7450,3,3841.20
8509,3,1446.50
9765,3,7703.30
2495,3,926.20
5401,3,2977.70
4342,3,3137.20
9086,3,3037.10
8027,3,3341.80
6346,3,6070.90
7405,3,9353.30
5921,3,6300.80
6980,3,1743.50
2704,3,3806.00
7925,3,1093.40
3295,3,925.10
5299,3,3964.40
4240,3,1074.70
6555,3,492.80
9461,3,14105.30
8402,3,2156.00
8668,3,3577.20
3770,3,4547.40
7932,3,488.40
5971,3,4109.60
7818,3,4722.30
9188,3,2270.40
7507,3,5153.50
9822,3,19451.30
9354,3,11794.20
3979,3,1006.50
2920,3,2198.90
5769,3,3688.30
8084,3,6508.70
9454,3,6492.20
6714,3,2280.30
871,3,3212.00
3497,3,1076.90
4399,3,215.60
9620,3,13135.10
3352,3,1349.70
2450,3,4026.00
8293,3,2004.20
6612,3,7539.40
7514,3,3215.30
8884,3,5042.40
4183,3,3183.40
8459,3,8769.20
9404,3,2274.80
9715,3,9139.90
3872,3,3923.70
4292,3,5537.40
6253,3,3226.30
8568,3,8547.00
7509,3,3865.40
9938,3,24682.90
1977,3,2436.50
7198,3,4210.80
9513,3,12845.80
5040,3,41.80
3981,3,2819.30
6887,3,7018.00
9990,3,24435.40
3245,3,3625.60
4615,3,1637.90
5517,3,5765.10
7832,3,3477.10
6773,3,2842.40
4781,3,1702.80
9722,3,4991.80
8943,3,1630.20
8352,3,7700.00
8886,3,8514.00
6303,3,4580.40
6614,3,4697.00
9831,3,14602.50
8150,3,3524.40
7248,3,3327.50
8461,3,547.80
5878,3,946.00
7725,3,8109.20
7768,3,8398.50
1925,3,6551.60
6512,3,10630.40
9304,3,11900.90
8936,3,5608.90
5719,3,6776.00
6196,3,2941.40
9570,3,7327.10
9456,3,4968.70
6519,3,2579.50
2243,3,18.70
4247,3,1656.60
7350,3,9942.90
9665,3,7514.10
3511,3,1303.50
3822,3,2849.00
4724,3,2776.40
2084,3,8615.20
5301,3,178.20
6246,3,13649.90
5935,3,13349.60
8093,3,3539.80
5821,3,3611.30
6455,3,4396.70
5199,3,5492.30
9361,3,12942.60
9672,3,10517.10
1868,3,3393.50
6030,3,5574.80
7991,3,10519.30
8525,3,6017.00
8411,3,4594.70
4840,3,8727.40
5785,3,5210.70
9045,3,5484.60
4883,3,4585.90
9947,3,9455.60
7364,3,7340.30
462,3,3140.50
7884,3,10565.50
9845,3,13757.70
5201,3,278.30
6571,3,15880.70
8729,3,3421.00
9788,3,2046.00
2929,3,8907.80
7205,3,4272.40
6737,3,5866.30
7091,3,4306.50
9052,3,2735.70
6780,3,1342.00
9997,3,19144.40
6469,3,6248.00
5410,3,4483.60
7891,3,5847.60
9147,3,15871.90
1877,3,3694.90
4306,3,1465.20
1566,3,4657.40
3881,3,5947.70
6153,3,1909.60
8468,3,8291.80
5728,3,8729.60
8157,3,11760.10
4515,3,2709.30
8043,3,8481.00
9579,3,12395.90
4047,3,4777.30
7307,3,10675.50
8252,3,1593.90
3665,3,2195.60
4567,3,1531.20
8843,3,11536.80
7941,3,4502.30
8475,3,5321.80
8361,3,1360.70
2986,3,3434.20
5144,3,3654.20
4833,3,1504.80
5467,3,3784.00
7739,3,6211.70
6837,3,4268.00
4097,3,5089.70
6412,3,2832.50
5042,3,1688.50
8570,3,11914.10
2727,3,9281.80
6889,3,1408.00
5987,3,3663.00
3672,3,4923.60
6578,3,4837.80
7943,3,6048.90
9904,3,11673.20
8577,3,4562.80
9479,3,4492.40
7798,3,15610.10
5837,3,4628.80
6782,3,5080.90
7841,3,9722.90
8152,3,5516.50
3211,3,541.20
6471,3,3798.30
7373,3,13545.40
9688,3,12597.20
5044,3,7459.10
6103,3,8791.20
8375,3,3984.20
7048,3,1293.60
9320,3,11178.20
8261,3,1859.00
3363,3,5784.90
4422,3,6074.20
7525,3,1476.20
7214,3,13373.80
2202,3,4925.80
6789,3,3445.20
4206,3,3730.10
9104,3,7782.50
7423,3,9100.30
8793,3,17161.10
9681,3,17161.10
5051,3,1107.70
4783,3,5000.60
7055,3,14388.00
5996,3,6215.00
9370,3,5756.30
8311,3,7649.40
4315,3,3037.10
8000,3,2481.60
4358,3,3709.20
8634,3,16709.00
4004,3,903.10
2043,3,1381.60
3154,3,5775.00
6839,3,6800.20
7430,3,9913.20
9377,3,18653.80
1884,3,5205.20
6046,3,4257.00
8007,3,3463.90
4365,3,2085.60
4676,3,20.90
6991,3,2432.10
5901,3,2897.40
8216,3,7895.80
8527,3,4029.30
6846,3,3957.80
5944,3,5006.10
8102,3,15090.90
6732,3,942.70
9795,3,8674.60
2679,3,732.60
7900,3,935.00
8845,3,6883.80
1943,3,3905.00
4215,3,2091.10
7589,3,4276.80
9436,3,7762.70
8377,3,4953.30
8420,3,1320.00
6739,3,12542.20
5369,3,1921.70
7330,3,3445.20
9645,3,12067.00
9956,3,26606.80
7216,3,4639.80
2743,3,3326.40
6848,3,1215.50
7907,3,8828.60
8218,3,5759.60
2375,3,5078.70
4576,3,2783.00
9797,3,5443.90
5210,3,588.50
9372,3,16637.50
3529,3,6208.40
5801,3,4581.50
6155,3,11735.90
5376,3,2568.50
5687,3,420.20
9963,3,22948.20
5065,3,4669.50
7380,3,1004.30
6010,3,1439.90
8325,3,1303.50
3681,3,14988.60
8859,3,6278.80
4158,3,5539.60
6473,3,10230.00
9804,3,9869.20
6162,3,5992.80
9690,3,9516.10
8009,3,4655.20
1264,3,1413.50
3111,3,2462.90
4481,3,3111.90
7698,3,4470.40
9899,3,21535.80
6060,3,8496.40
9588,3,20865.90
2629,3,974.60
5692,3,4048.00
6480,3,1689.60
3897,3,3213.10
7425,3,4302.10
8484,3,12508.10
9740,3,5399.90
8059,3,4635.40
9004,3,5206.30
5787,3,579.70
2102,3,5414.20
3161,3,1454.20
4417,3,5362.50
6264,3,15633.20
8759,3,4677.20
9113,3,4482.50
5542,3,9279.60
7743,3,8706.50
2845,3,8760.40
8334,3,5065.50
2534,3,5665.00
4692,3,5135.90
7121,3,3504.60
6062,3,2979.90
6696,3,4319.70
8968,3,21998.90
8854,3,9674.50
9120,3,10704.10
6380,3,8041.00
7439,3,202.40
7325,3,4620.00
9640,3,11045.10
4108,3,2550.90
3797,3,5254.70
7014,3,5285.50
4742,3,185.90
3061,3,711.70
9013,3,8636.10
8391,3,4284.50
1957,3,2385.90
8277,3,3669.60
9336,3,4249.30
587,3,3469.40
1107,3,3263.70
7230,3,2357.30
3588,3,4818.00
9431,3,159.50
4590,3,4558.40
7807,3,6999.30
948,3,4867.50
1850,3,3955.60
5535,3,1707.20
7071,3,2739.00
4799,3,1329.90
6957,3,13635.60
9386,3,7960.70
8327,3,3713.60
9863,3,15162.40
9272,3,7367.80
8650,3,7581.20
7591,3,4698.10
4374,3,4774.00
8536,3,5053.40
3949,3,4524.30
7166,3,5050.10
9127,3,1620.30
6444,3,9836.20
4015,3,4862.00
3113,3,4628.80
7389,3,6754.00
8177,3,5699.10
4960,3,11217.80
4338,3,584.10
6964,3,928.40
5283,3,327.80
6185,3,6519.70
6539,3,10444.50
8500,3,10012.20
1909,3,1733.60
2968,3,1160.50
5169,3,4719.00
6228,3,4235.00
3913,3,25.30
6971,3,3231.80
6857,3,6099.50
6235,3,253.00
4865,3,6562.60
8082,3,1798.50
6121,3,5102.90
3849,3,2140.60
6755,3,4870.80
4440,3,485.10
6387,3,4985.20
8234,3,4578.20
1800,3,1964.60
5962,3,958.10
7809,3,5668.30
6553,3,2557.50
4592,3,2044.90
3222,3,3111.90
6596,3,2422.20
7498,3,17255.70
6762,3,1585.10
7707,3,21690.90
9965,3,23259.50
4122,3,2394.70
6394,3,8492.00
7225,3,10751.40
8284,3,8288.50
6603,3,3941.30
9820,3,2182.40
8918,3,7796.80
4288,3,4741.00
9229,3,6605.50
4331,3,1575.20
9395,3,201.30
4808,3,3312.10
7123,3,5401.00
7714,3,5381.20
8068,3,1952.50
2842,3,4714.60
4212,3,9774.60
9827,3,18722.00
