member_noSource,region_name,gender
7289,Japan,H
6332,Africa,F
484,Japan,F
6342,Africa,F
7291,Japan,H
585,Africa,H
4536,Japan,F
733,Africa,H
4533,Japan,H
6176,Africa,F
8086,Japan,F
6351,Africa,H
5278,Japan,F
6173,Africa,H
4620,Japan,F
8565,Africa,H
4689,Japan,H
5991,Africa,H
7244,Japan,F
8594,Africa,F
8018,Japan,F
5993,Africa,H
2605,Japan,H
1969,Africa,H
7246,Japan,F
1965,Africa,H
8935,Japan,H
8587,Africa,H
5318,Japan,F
1961,Africa,H
8121,Japan,H
8585,Africa,H
4698,Japan,F
6021,Africa,H
9000,Japan,F
6023,Africa,H
5306,Japan,F
1941,Africa,H
4974,Japan,F
6033,Africa,H
2625,Japan,H
6039,Africa,H
2626,Japan,F
6042,Africa,F
5299,Japan,H
6043,Africa,H
469,Japan,H
1951,Africa,H
334,Japan,F
6378,Africa,F
5302,Japan,F
732,Africa,F
9211,Japan,H
723,Africa,H
7014,Japan,F
6219,Africa,H
1416,Japan,F
6223,Africa,H
9977,China,H
6232,Africa,F
1162,China,F
6245,Africa,H
9989,China,H
6265,Africa,H
4651,Japan,H
6260,Africa,F
8146,China,F
6218,Africa,F
909,Japan,H
8477,Africa,H
9220,Japan,F
1831,Africa,H
5056,Japan,F
6253,Africa,H
8122,Japan,F
6251,Africa,H
1331,Japan,H
648,Africa,F
5294,Japan,F
647,Africa,H
9001,Japan,H
8606,Africa,F
7017,Japan,H
8480,Africa,F
8087,Japan,H
6209,Africa,H
7108,Japan,F
3278,Africa,F
4661,Japan,H
8467,Africa,H
8127,Japan,H
6187,Africa,H
7258,Japan,F
6287,Africa,H
2395,Japan,H
1874,Africa,F
4639,Japan,H
9219,Japan,H
2311,Japan,H
1309,Japan,H
7743,China,H
7003,China,H
7437,China,H
7255,China,H
7366,China,F
7285,China,H
1295,China,H
1293,China,H
994,China,F
6755,China,H
8242,China,F
982,China,F
998,China,F
7290,China,F
7294,China,F
1252,China,F
1609,China,H
6694,China,F
7415,China,H
7425,China,H
970,China,F
6684,China,F
1244,China,F
7209,China,H
1247,China,H
7997,China,H
7926,China,F
7227,China,H
851,China,H
7410,China,F
1605,China,H
6833,China,H
1339,China,H
8289,China,H
1520,China,F
7307,China,H
7989,China,H
6729,China,H
7355,China,H
7267,China,H
7971,China,H
1589,China,H
1542,China,F
828,China,F
8267,China,H
8004,China,F
7348,China,F
6737,China,H
1320,China,F
1285,China,H
6725,China,H
1595,China,H
8012,China,F
7965,China,H
8249,China,H
1560,China,F
7314,China,F
8244,China,F
988,China,F
1307,China,H
7309,China,H
7280,China,F
1588,China,F
7359,China,H
7360,China,F
1594,China,F
7358,China,F
6985,China,H
7277,China,H
6688,China,F
7924,China,F
8282,China,F
8095,China,H
8093,China,H
795,China,H
7028,China,F
6945,China,H
1482,China,F
1687,China,H
7031,China,H
1078,China,F
6956,China,F
6553,China,H
8356,China,F
7806,China,F
6931,China,H
6583,China,H
935,China,H
934,China,F
786,China,F
6549,China,H
792,China,F
796,China,F
1138,China,F
8106,China,F
6953,China,H
6938,China,F
8345,China,H
7818,China,F
3277,China,H
7660,China,F
7824,China,F
7656,China,F
1424,China,F
6951,China,H
7694,China,F
1433,China,H
1526,China,F
7382,China,F
7247,China,H
6724,China,F
6723,China,H
8226,China,F
6709,China,H
6721,China,H
1274,China,F
8015,China,H
8274,China,F
7959,China,H
7398,China,F
1276,China,F
8014,China,F
7742,China,F
1333,China,H
7238,China,F
7692,China,F
1129,China,H
7688,China,F
921,China,H
6560,China,F
7048,China,F
1004,China,F
7305,China,H
7243,China,H
7953,China,H
7951,China,H
8219,China,H
8275,China,H
1332,China,F
7879,China,H
7094,China,F
4547,Japan,H
9254,Japan,F
5016,Japan,F
5226,Japan,F
2536,Japan,F
2540,Japan,F
8110,Japan,F
2542,Japan,F
9136,Japan,F
5231,Japan,H
7193,Japan,H
2547,Japan,H
9041,Japan,H
8111,Japan,H
7195,Japan,H
8109,Japan,H
8962,Japan,F
922,Japan,F
9040,Japan,F
4805,Japan,H
9038,Japan,F
1351,Japan,H
9146,Japan,F
5152,Japan,F
2336,Japan,F
9127,Japan,H
1350,Japan,F
5242,Japan,F
9008,Japan,F
4794,Japan,F
5025,Japan,H
5029,Japan,H
1348,Japan,F
2335,Japan,H
7199,Japan,H
2448,Japan,F
4742,Japan,F
4759,Japan,H
2446,Japan,F
5033,Japan,H
8115,Japan,H
2330,Japan,F
8116,Japan,F
5035,Japan,H
8028,Japan,F
5260,Japan,F
8027,Japan,H
7120,Japan,F
2534,Japan,F
7052,Japan,F
7041,Japan,H
5248,Japan,F
7213,Japan,H
4770,Japan,F
8024,Japan,F
9030,Japan,F
4732,Japan,F
8996,Japan,F
4731,Japan,H
8946,Japan,F
9156,Japan,F
7078,Japan,F
975,Japan,H
7115,Japan,H
5147,Japan,H
9172,Japan,F
973,Japan,H
4777,Japan,H
4973,Japan,H
1352,Japan,F
5103,Japan,H
5525,Japan,H
3618,Japan,F
3090,Japan,F
3630,Japan,F
7834,Japan,F
3636,Japan,F
3638,Japan,F
9706,Japan,F
3080,Japan,F
3648,Japan,F
1147,Japan,H
3649,Japan,H
3611,Japan,H
7654,Japan,F
3617,Japan,H
3733,Japan,H
3734,Japan,F
96,Japan,F
2962,Japan,F
2958,Japan,F
3855,Japan,H
3853,Japan,H
3850,Japan,F
7869,Japan,H
3110,Japan,F
2988,Japan,F
7545,Japan,H
1201,Japan,H
9595,Japan,H
2979,Japan,H
3847,Japan,H
2977,Japan,H
9606,Japan,F
3591,Japan,H
9724,Japan,F
7650,Japan,F
7601,Japan,H
7602,Japan,F
3665,Japan,H
1061,Japan,H
9699,Japan,H
9698,Japan,F
3711,Japan,H
2708,Japan,F
7843,Japan,H
7606,Japan,F
3698,Japan,F
3055,Japan,H
9687,Japan,H
7308,Japan,F
3692,Japan,F
5218,Japan,F
3731,Japan,H
3725,Japan,H
7649,Japan,H
7648,Japan,F
3602,Japan,F
1062,Japan,F
3076,Japan,F
76,Japan,H
95,Japan,H
7600,Japan,F
7845,Japan,H
9669,Japan,H
7597,Japan,H
7595,Japan,H
9663,Japan,H
3724,Japan,F
3713,Japan,H
1457,Japan,H
4931,Japan,H
7148,Japan,F
9238,Japan,F
326,Japan,F
2644,Japan,F
2645,Japan,H
2648,Japan,F
9224,Japan,F
1448,Japan,F
1334,Japan,F
4615,Japan,H
4612,Japan,F
902,Japan,F
2397,Japan,H
9229,Japan,H
323,Japan,H
2423,Japan,H
2424,Japan,F
2674,Japan,F
2586,Japan,F
476,Japan,F
2668,Japan,F
1454,Japan,F
2669,Japan,H
901,Japan,H
9231,Japan,H
479,Japan,H
2663,Japan,H
2672,Japan,F
8085,Japan,H
6997,Japan,H
7278,Japan,F
4575,Japan,H
7273,Japan,H
2583,Japan,H
4607,Japan,H
8910,Japan,F
8890,Japan,F
6990,Japan,F
7008,Japan,F
2418,Japan,F
7998,Japan,F
4560,Japan,F
6992,Japan,F
2422,Japan,F
9251,Japan,H
4556,Japan,F
5348,Japan,F
7284,Japan,F
2420,Japan,F
992,Japan,F
1410,Japan,F
897,Japan,H
7302,Japan,F
329,Japan,H
7282,Japan,F
2403,Japan,H
322,Japan,F
313,Japan,H
5088,Japan,F
2303,Japan,H
4525,Japan,H
8892,Japan,F
4518,Japan,F
2288,Japan,F
7992,Japan,F
1305,Japan,H
5357,Japan,H
488,Japan,F
7163,Japan,H
4881,Japan,H
4882,Japan,F
1391,Japan,H
8060,Japan,F
7138,Japan,F
4963,Japan,H
4962,Japan,F
955,Japan,H
4951,Japan,H
9281,Japan,H
2487,Japan,H
1384,Japan,F
5165,Japan,H
395,Japan,H
4937,Japan,H
402,Japan,F
4934,Japan,F
9077,Japan,H
5186,Japan,F
4993,Japan,H
2464,Japan,F
4923,Japan,H
4920,Japan,F
8990,Japan,F
7065,Japan,H
7133,Japan,H
2381,Japan,H
8052,Japan,F
5182,Japan,F
5183,Japan,H
931,Japan,H
1397,Japan,H
4911,Japan,H
389,Japan,H
7068,Japan,F
2382,Japan,F
1373,Japan,H
5188,Japan,F
5006,Japan,F
7157,Japan,H
7158,Japan,F
4900,Japan,F
5156,Japan,F
4880,Japan,F
8089,Japan,H
2364,Japan,F
8047,Japan,H
2518,Japan,F
9099,Japan,H
7167,Japan,H
9101,Japan,H
8371,Japan,H
8983,Japan,H
8981,Japan,H
9107,Japan,H
5187,Japan,H
9108,Japan,F
2361,Japan,H
1365,Japan,H
1427,Japan,H
4863,Japan,H
9102,Japan,F
444,Japan,F
8045,Japan,H
9043,Japan,H
4859,Japan,H
7124,Japan,F
8966,Japan,F
8965,Japan,H
8971,Japan,H
1349,China,H
853,China,H
6892,China,F
3666,China,F
79,China,H
3674,China,F
3675,China,H
3677,China,H
3681,China,H
80,China,F
9772,China,F
3729,China,H
3517,China,H
3513,China,H
17,China,H
3230,China,F
3661,China,H
3650,China,F
75,China,H
3085,China,H
3052,China,F
3050,China,F
9673,China,H
9683,China,H
91,China,H
3717,China,H
9842,China,F
9668,China,F
9665,China,H
3039,China,H
9671,China,H
85,China,H
9691,China,H
3634,China,F
9666,China,F
3705,China,H
3338,China,F
9836,China,F
9819,China,H
9799,China,H
9795,China,H
9794,China,F
3489,China,H
3469,China,H
3168,China,F
3166,China,F
3164,China,F
9778,China,F
3158,China,F
9773,China,H
3497,China,H
3200,China,F
9822,China,F
9863,China,H
3248,China,F
3217,China,H
3391,China,H
3399,China,H
3206,China,F
3334,China,F
3246,China,F
9840,China,F
3265,China,H
3306,China,F
9855,China,H
3308,China,F
3250,China,F
3249,China,H
3326,China,F
3259,China,H
9682,China,F
3631,China,H
9711,China,H
9088,China,F
4954,China,F
9067,China,H
9065,China,H
2474,China,F
2473,China,H
2479,China,H
9091,China,H
387,China,H
4901,China,H
2525,China,H
9114,China,F
4869,China,H
4945,China,H
4936,China,F
9079,China,H
2497,China,H
2569,China,H
9158,China,F
370,China,F
4781,China,H
9150,China,F
4790,China,F
2523,China,H
4791,China,H
4799,China,H
9154,China,F
9119,China,H
379,China,H
9115,China,H
4910,China,F
365,China,H
382,China,F
9109,China,H
9105,China,H
64,China,F
3625,China,H
9766,China,F
9765,China,H
9760,China,F
3574,China,F
3099,China,H
3542,China,F
3130,China,F
54,China,H
9746,China,F
3124,China,F
3550,China,F
3089,China,H
3135,China,H
3466,China,F
3620,China,F
3613,China,H
2520,China,F
4889,China,H
4890,China,F
4894,China,F
405,China,H
2334,China,F
66,China,F
9392,China,F
61,China,H
3585,China,H
3112,China,F
3598,China,F
3580,China,F
3107,China,H
2796,China,F
9166,China,F
3465,China,H
3416,China,F
3778,China,F
3015,China,H
3763,China,H
9601,China,H
9600,China,F
136,China,F
3909,China,H
3911,China,H
3895,China,H
3912,China,F
3924,China,F
3933,China,H
3943,China,H
105,China,F
114,China,F
9651,China,H
3751,China,H
3801,China,H
9617,China,H
3805,China,H
3794,China,F
3004,China,F
2995,China,H
3945,China,H
2994,China,F
3000,China,F
9610,China,F
3792,China,F
9626,China,F
3746,China,F
3747,China,H
2989,China,H
3800,China,F
3915,China,H
9583,China,H
5748,China,F
5751,China,H
5756,China,F
5758,China,F
5760,China,F
5763,China,H
8474,China,F
2093,China,H
712,China,F
2111,China,H
2122,China,F
1824,China,F
8736,China,F
8475,China,H
6269,China,H
7772,China,F
2488,China,F
2959,China,H
129,China,H
3849,China,H
3857,China,H
3862,China,F
3863,China,H
3892,China,F
9589,China,H
2970,China,F
3870,China,F
133,China,H
3875,China,H
2932,China,F
5250,China,F
132,China,F
9623,China,H
9550,China,F
9655,China,H
4046,China,F
4016,China,F
9490,China,F
2883,China,H
191,China,H
4081,China,H
2871,China,H
2868,China,F
4054,China,F
2866,China,F
2906,China,F
9508,China,F
9540,China,F
4039,China,H
4036,China,F
4030,China,F
4025,China,H
3427,China,H
3429,China,H
3430,China,F
9814,China,F
29,China,H
9807,China,H
3962,China,F
9804,China,F
3452,China,F
3462,China,F
3516,China,F
9393,China,H
3732,China,F
9654,China,F
3179,China,H
3963,China,H
3967,China,H
3973,China,H
227,China,H
211,China,H
9437,China,H
2856,China,F
9456,China,F
4127,China,H
9401,China,H
2852,China,F
4141,China,H
4142,China,F
2844,China,F
4146,China,F
2830,China,F
3959,China,H
205,China,H
9801,China,H
4224,China,F
4211,China,H
9531,China,H
2923,China,H
180,China,F
4008,China,F
2924,China,F
2864,China,F
9403,China,H
9466,China,F
4194,China,F
2812,China,F
4204,China,F
4208,China,F
4181,China,H
4209,China,H
4116,China,F
361,China,H
4758,China,F
367,China,H
1513,China,H
1511,China,H
7165,China,H
1221,China,H
7493,China,H
8204,China,F
7901,China,H
7362,China,F
6578,China,F
6514,China,F
4563,China,H
4564,China,F
9246,China,F
1229,China,H
1514,China,F
7174,China,F
1363,China,H
1361,China,H
7468,China,F
6869,China,H
6651,China,H
7154,China,F
7504,China,F
4576,China,F
8053,China,H
1633,China,H
1212,China,F
6872,China,F
8203,China,H
1219,China,H
8300,China,F
7511,China,H
1353,China,H
4558,China,F
4585,China,H
4619,China,H
2652,China,F
344,China,F
346,China,F
4696,China,F
2601,China,H
349,China,H
4690,China,F
2588,China,F
4719,China,H
4723,China,H
9184,China,F
4728,China,F
2653,China,H
317,China,H
2683,China,H
9258,China,F
4587,China,H
4600,China,F
4602,China,F
324,China,F
4554,China,F
4550,China,F
4577,China,H
2703,China,H
4516,China,F
4520,China,F
312,China,F
4551,China,H
4531,China,H
9260,China,F
4513,China,H
6671,China,H
967,China,H
6846,China,F
7118,China,F
7116,China,F
7572,China,F
7851,China,H
7849,China,H
7101,China,H
946,China,F
881,China,H
6914,China,F
1052,China,F
6610,China,F
8176,China,F
808,China,F
6887,China,H
7130,China,F
7874,China,F
1394,China,F
8191,China,H
7552,China,F
6635,China,H
6630,China,F
6627,China,H
7862,China,F
8182,China,F
6899,China,H
1040,China,F
958,China,F
957,China,H
6642,China,F
8306,China,F
8061,China,H
1638,China,F
1406,China,F
8318,China,F
7114,China,F
1621,China,H
965,China,H
7183,China,H
7904,China,F
7903,China,H
7181,China,H
8040,China,F
7184,China,F
7191,China,H
7202,China,F
7441,China,H
8036,China,F
7914,China,F
7913,China,H
7455,China,H
9187,China,H
1356,China,F
819,China,H
7574,China,F
7576,China,F
7577,China,H
947,China,H
7581,China,H
6622,China,F
7189,China,H
7107,China,H
1183,China,H
7105,China,H
6902,China,F
7204,China,F
1035,China,H
8303,China,H
7584,China,F
2604,China,F
4687,China,H
4683,China,H
5046,China,F
9026,China,F
2439,China,H
5121,China,H
5122,China,F
5193,China,H
5194,China,F
8980,China,F
8973,China,H
5205,China,H
2366,China,F
8967,China,H
5225,China,H
5045,China,H
2438,China,F
5043,China,H
9022,China,F
5074,China,F
2425,China,H
2430,China,F
2421,China,H
5090,China,F
5092,China,F
8957,China,H
5096,China,F
5101,China,H
5082,China,F
5105,China,H
9024,China,F
5002,China,F
5003,China,H
5099,China,H
5246,China,F
5247,China,H
446,China,F
4814,China,F
4817,China,H
2546,China,F
9138,China,F
4809,China,H
9134,China,F
9055,China,H
9129,China,H
9124,China,F
9123,China,H
9122,China,F
4835,China,H
4856,China,F
4806,China,F
376,China,F
5069,China,H
4986,China,F
2469,China,H
2369,China,H
5184,China,F
5123,China,H
9003,China,H
5129,China,H
423,China,H
2578,China,F
5146,China,F
2383,China,H
433,China,H
5169,China,H
8984,China,F
5171,China,H
2373,China,H
2384,China,F
7526,Japan,F
2428,China,F
4751,China,H
4357,China,H
4362,China,F
4365,China,H
9344,China,F
2744,China,F
9338,China,F
4361,China,H
9364,China,F
9367,China,H
2790,China,F
4260,China,F
4270,China,F
4301,China,H
266,China,F
4345,China,H
4341,China,H
4340,China,F
9225,China,H
9222,China,F
9217,China,H
2634,China,F
2629,China,H
9210,China,F
4279,China,H
2623,China,H
4676,China,F
9283,China,H
4730,China,F
4500,China,F
4319,China,H
4320,China,F
9206,China,F
9377,China,H
9371,China,H
4298,China,F
4396,China,F
2734,China,F
4406,China,F
4412,China,F
283,China,H
4427,China,H
9328,China,F
9314,China,F
4443,China,H
4444,China,F
4445,China,H
2705,China,H
242,China,F
2579,China,H
4437,China,H
5063,China,H
4446,China,F
9298,China,F
9368,China,F
9330,China,F
274,China,F
9306,China,F
2720,China,F
4469,China,H
4448,China,F
2712,China,F
9299,China,H
4478,China,F
4486,China,F
9288,China,F
294,China,F
4497,China,H
4452,China,F
5727,China,H
2965,Japan,H
3859,Japan,H
4275,Eastern Europea,H
7477,Eastern Europea,H
177,Eastern Europea,H
8522,Eastern Europea,F
1266,Eastern Europea,F
1630,Eastern Europea,F
2780,Eastern Europea,F
5988,Eastern Europea,F
9374,Eastern Europea,F
2921,Eastern Europea,H
1268,Eastern Europea,F
4269,Eastern Europea,H
3949,Eastern Europea,H
4304,Eastern Europea,F
6717,Eastern Europea,H
7500,Eastern Europea,F
1217,Eastern Europea,H
9519,Eastern Europea,H
1903,Eastern Europea,H
250,Eastern Europea,F
9376,Eastern Europea,F
5982,Eastern Europea,F
8531,Eastern Europea,H
7958,Eastern Europea,F
9532,Eastern Europea,F
8605,Eastern Europea,H
9515,Eastern Europea,H
7502,Eastern Europea,F
6659,Eastern Europea,H
7392,Eastern Europea,F
249,Eastern Europea,H
7956,Eastern Europea,F
6660,Eastern Europea,F
5989,Eastern Europea,H
9528,Eastern Europea,F
685,Eastern Europea,H
6143,Eastern Europea,H
9386,Eastern Europea,F
5978,Eastern Europea,F
2910,Eastern Europea,F
5975,Eastern Europea,H
7496,Eastern Europea,F
259,Eastern Europea,H
9543,Eastern Europea,H
3940,Eastern Europea,F
4258,Eastern Europea,F
6123,Eastern Europea,H
4000,Eastern Europea,F
6156,Eastern Europea,F
3934,Eastern Europea,F
7470,Eastern Europea,F
8523,Eastern Europea,H
3971,Eastern Europea,H
1029,Eastern Europea,H
263,Eastern Europea,H
7473,Eastern Europea,H
8601,Eastern Europea,H
8301,Eastern Europea,H
3978,Eastern Europea,F
9511,Eastern Europea,H
6154,Eastern Europea,F
9387,Eastern Europea,H
8517,Eastern Europea,H
7949,Eastern Europea,H
6117,Eastern Europea,H
4289,Eastern Europea,H
680,Eastern Europea,F
8519,Eastern Europea,H
1028,Eastern Europea,F
4267,Eastern Europea,H
7420,Eastern Europea,F
2827,Eastern Europea,H
1938,Eastern Europea,F
208,Eastern Europea,F
658,Eastern Europea,F
9446,Eastern Europea,F
9447,Eastern Europea,H
2825,Eastern Europea,H
9448,Eastern Europea,F
9440,Eastern Europea,F
9438,Eastern Europea,F
2840,Eastern Europea,F
7435,Eastern Europea,H
662,Eastern Europea,F
659,Eastern Europea,H
2822,Eastern Europea,F
6693,Eastern Europea,H
4092,Eastern Europea,F
8569,Eastern Europea,H
7922,Eastern Europea,F
4140,Eastern Europea,F
6034,Eastern Europea,F
9450,Eastern Europea,F
4126,Eastern Europea,F
4136,Eastern Europea,F
654,Eastern Europea,F
9432,Eastern Europea,F
4175,Eastern Europea,H
4179,Eastern Europea,H
4180,Eastern Europea,F
2841,Eastern Europea,H
9451,Eastern Europea,H
4184,Eastern Europea,F
6022,Eastern Europea,F
8296,Eastern Europea,F
7413,Eastern Europea,H
1614,Eastern Europea,F
1946,Eastern Europea,F
7438,Eastern Europea,F
7917,Eastern Europea,H
4189,Eastern Europea,H
4120,Eastern Europea,F
4114,Eastern Europea,F
820,Eastern Europea,F
4118,Eastern Europea,F
6663,Eastern Europea,H
1018,Eastern Europea,F
5996,Eastern Europea,F
3989,Eastern Europea,H
9458,Eastern Europea,F
8602,Eastern Europea,F
663,Eastern Europea,H
9418,Eastern Europea,F
4106,Eastern Europea,F
9464,Eastern Europea,F
8559,Eastern Europea,H
6069,Eastern Europea,H
9416,Eastern Europea,F
4101,Eastern Europea,H
6058,Eastern Europea,F
1948,Eastern Europea,F
1239,Eastern Europea,H
6072,Eastern Europea,F
9468,Eastern Europea,F
200,Eastern Europea,F
6678,Eastern Europea,F
6699,Eastern Europea,H
4100,Eastern Europea,F
6675,Eastern Europea,H
2914,Eastern Europea,F
4001,Eastern Europea,H
763,Japan,H
6733,Japan,H
8859,Japan,H
6466,Japan,F
8361,Japan,H
8280,Japan,F
2014,Japan,F
6456,Japan,F
6950,Japan,F
8862,Japan,F
5918,Japan,F
1593,Japan,H
6740,Japan,F
5432,Japan,F
8398,Japan,F
8852,Japan,F
8278,Japan,F
6946,Japan,F
2235,Japan,H
624,Japan,F
2023,Japan,H
8392,Japan,F
5910,Japan,F
8595,Japan,H
8635,Japan,H
2232,Japan,F
5413,Japan,H
5459,Japan,H
1736,Japan,F
5412,Japan,F
6451,Japan,H
622,Japan,F
5451,Japan,H
5928,Japan,F
825,Japan,H
6939,Japan,H
8616,Japan,F
5409,Japan,H
5408,Japan,F
2002,Japan,F
2229,Japan,H
6448,Japan,F
6704,Japan,F
5942,Japan,F
5465,Japan,H
8265,Japan,H
6445,Japan,H
8163,Japan,H
1727,Japan,H
1981,Japan,H
5945,Japan,H
6433,Japan,H
6013,Japan,H
5946,Japan,F
6017,Japan,H
2221,Japan,H
2000,Japan,F
5952,Japan,F
8162,Japan,F
524,Japan,F
1473,Japan,H
6437,Japan,H
1470,Japan,F
1999,Japan,H
889,Japan,H
1700,Japan,F
1582,Japan,F
1768,Japan,F
5915,Japan,H
5418,Japan,F
9933,Japan,H
823,Japan,H
9991,Japan,H
2264,Japan,F
9927,Japan,H
527,Japan,H
8147,Japan,H
5501,Japan,H
9942,Japan,F
9930,Japan,F
1464,Japan,F
6398,Japan,F
8820,Japan,F
1598,Japan,F
9922,Japan,F
6427,Japan,H
9926,Japan,F
8593,Eastern Europea,H
6712,Eastern Europea,F
2911,Eastern Europea,H
1905,Eastern Europea,H
2775,Eastern Europea,H
4286,Eastern Europea,F
2206,Japan,F
9968,Japan,F
9987,Japan,H
641,Japan,H
9925,Japan,H
5490,Japan,F
9893,Japan,H
2214,Japan,F
8169,Japan,H
608,Japan,F
8575,Japan,H
6763,Japan,H
768,Japan,F
1945,Japan,H
8287,Japan,H
6409,Japan,H
5507,Japan,H
1704,Japan,F
1755,Japan,H
5506,Japan,F
6926,Japan,F
8416,Japan,F
8884,Japan,F
750,Japan,F
5476,Japan,F
6025,Japan,H
6925,Japan,H
2779,Eastern Europea,H
8824,Japan,F
6420,Japan,F
6401,Japan,H
771,Japan,H
5370,Japan,F
1715,Japan,H
2277,Japan,H
1986,Japan,F
5381,Japan,H
6393,Japan,H
8376,Japan,F
8290,Japan,F
640,Japan,F
5971,Japan,H
6504,Japan,F
5508,Japan,F
6561,Japan,H
2255,Japan,H
8297,Eastern Europea,H
9495,Eastern Europea,H
7722,Eastern Europea,F
6446,Eastern Europea,F
3236,Eastern Europea,F
8390,Eastern Europea,F
8366,Eastern Europea,F
8389,Eastern Europea,H
8387,Eastern Europea,H
3305,Eastern Europea,H
7760,Eastern Europea,F
9861,Eastern Europea,H
7761,Eastern Europea,H
3298,Eastern Europea,F
1717,Eastern Europea,H
26,Eastern Europea,F
3204,Eastern Europea,F
25,Eastern Europea,H
3208,Eastern Europea,F
3422,Eastern Europea,F
9817,Eastern Europea,H
8404,Eastern Europea,F
3419,Eastern Europea,H
3418,Eastern Europea,F
7719,Eastern Europea,H
6505,Eastern Europea,H
3415,Eastern Europea,H
7720,Eastern Europea,F
1081,Eastern Europea,H
3211,Eastern Europea,H
6452,Eastern Europea,F
3400,Eastern Europea,F
22,Eastern Europea,H
3414,Eastern Europea,F
3192,Eastern Europea,F
770,Eastern Europea,F
3284,Eastern Europea,F
1093,Eastern Europea,H
7752,Eastern Europea,F
7779,Eastern Europea,H
3325,Eastern Europea,H
6486,Eastern Europea,F
1726,Eastern Europea,F
9848,Eastern Europea,F
3108,Eastern Europea,F
7717,Eastern Europea,H
1694,Eastern Europea,F
8430,Eastern Europea,F
7671,Eastern Europea,H
6574,Eastern Europea,F
3321,Eastern Europea,H
3330,Eastern Europea,F
7747,Eastern Europea,H
6482,Eastern Europea,F
9875,Eastern Europea,H
1707,Eastern Europea,H
3261,Eastern Europea,H
3251,Eastern Europea,H
7754,Eastern Europea,F
1735,Eastern Europea,H
7768,Eastern Europea,F
6476,Eastern Europea,F
3346,Eastern Europea,F
1732,Eastern Europea,F
3343,Eastern Europea,H
1730,Eastern Europea,F
6533,Eastern Europea,H
3339,Eastern Europea,H
16,Eastern Europea,F
8403,Eastern Europea,H
7734,Eastern Europea,F
3361,Eastern Europea,H
6625,Eastern Europea,H
107,Eastern Europea,H
8314,Eastern Europea,F
1186,Eastern Europea,F
3023,Eastern Europea,H
3769,Eastern Europea,H
104,Eastern Europea,F
707,Eastern Europea,H
1184,Eastern Europea,F
7857,Eastern Europea,H
704,Eastern Europea,F
1202,Eastern Europea,F
1863,Eastern Europea,H
3009,Eastern Europea,H
3782,Eastern Europea,F
6237,Eastern Europea,H
3786,Eastern Europea,F
3897,Eastern Europea,H
