total,category_desc,member,region
234758.60,Electronics,20440,Japan
244294.30,Groceries,24922,Scandanavian
104195.20,Lodging,23917,China
39768.50,Clothing,26834,Eastern Europea
120177.60,Communication,21092,China
168399.60,Entertainment,21868,Japan
41062.00,Lodging,20024,Africa
24002.30,Entertainment,23783,Mid East / Sout
17880.50,Electronics,25355,Western Europea
96619.90,Meals,25174,Western Europea
1002.80,Communication,28752,Western Europea
152992.50,Lodging,27684,Eastern Europea
118234.30,Electronics,27270,South American
189757.50,Electronics,23291,Africa
43479.20,Clothing,22111,Japan
209034.10,Misc,27248,Eastern Europea
48523.70,Entertainment,23846,China
202399.30,Misc,27334,Eastern Europea
286856.20,Communication,20943,China
211992.40,Home Supplies,20740,China
50045.60,Communication,28603,China
267.50,Home Supplies,22804,Mid East / Sout
222908.30,Misc,22419,Africa
310060.90,Groceries,22432,Africa
46591.40,Misc,27695,Eastern Europea
73455.50,Clothing,24089,Mid East / Sout
80295.50,Groceries,21922,Japan
65036.20,Groceries,25283,Western Europea
47662.60,Communication,26688,Eastern Europea
29177.50,Meals,25111,Scandanavian
182244.50,Misc,29759,Eastern Europea
80911.10,Misc,25333,Western Europea
23848.40,Groceries,23986,China
67744.10,Clothing,24026,China
18461.90,Misc,29249,Eastern Europea
8184.80,Electronics,22908,Mid East / Sout
109797.90,Electronics,20632,Japan
232364.60,Entertainment,28463,Western Europea
86086.30,Lodging,28534,Japan
27114.50,Electronics,22547,Africa
127770.00,Entertainment,20420,Japan
117892.30,Meals,28537,Scandanavian
69402.80,Communication,20199,Japan
21642.50,Meals,20494,Japan
169134.90,Communication,20093,China
126818.50,Misc,25886,South American
119790.40,Home Supplies,29336,South American
152137.50,Electronics,20483,Japan
135396.60,Groceries,28709,China
37699.40,Home Supplies,23548,Mid East / Sout
21123.40,Home Supplies,29485,Scandanavian
30312.20,Groceries,24730,Scandanavian
52940.40,Clothing,24472,Mid East / Sout
68935.00,Misc,24887,Scandanavian
77337.20,Misc,23822,China
2148.50,Misc,20653,Japan
174823.10,Clothing,21558,Eastern Europea
62904.80,Clothing,28706,Scandanavian
179206.80,Electronics,29142,Western Europea
425672.80,Meals,25303,Western Europea
167835.30,Communication,28881,Africa
512471.20,Lodging,20067,China
20325.80,Communication,21221,China
59672.90,Meals,27218,Eastern Europea
21300.50,Communication,22815,Mid East / Sout
130984.80,Misc,29120,China
107666.50,Groceries,23857,China
122235.70,Home Supplies,24058,China
52234.40,Electronics,22865,Africa
47446.40,Entertainment,22060,Japan
46784.40,Misc,23398,Africa
147463.10,Groceries,21410,Japan
125376.00,Misc,24758,Scandanavian
89044.60,Groceries,20050,Africa
30996.20,Misc,27824,South American
14197.90,Groceries,28517,China
66415.20,Home Supplies,21547,Eastern Europea
65326.90,Communication,28560,Japan
147383.70,Electronics,24780,Scandanavian
81736.80,Home Supplies,29207,China
55295.30,Clothing,29642,Eastern Europea
54064.10,Home Supplies,24613,Mid East / Sout
78511.00,Communication,20900,China
52741.30,Home Supplies,25973,South American
208037.40,Communication,29817,Scandanavian
36211.70,Lodging,21003,China
106138.50,Entertainment,22718,Mid East / Sout
59290.60,Electronics,20675,Japan
9512.50,Lodging,22363,Japan
77194.30,Meals,28154,Western Europea
355363.70,Meals,20877,China
376994.00,Communication,25815,Scandanavian
72959.60,Communication,27730,South American
54115.40,Lodging,20448,Japan
143508.10,Meals,22237,Japan
96425.70,Meals,26239,Scandanavian
151972.60,Entertainment,22996,Africa
14802.50,Misc,28184,Western Europea
19077.50,Groceries,24793,Scandanavian
93570.00,Clothing,21601,Eastern Europea
48757.00,Home Supplies,29422,Africa
15366.80,Electronics,26099,South American
45685.10,Misc,29143,China
69653.20,Clothing,28388,South American
113388.90,Misc,25909,South American
89027.50,Groceries,27581,Eastern Europea
53350.80,Misc,25694,South American
200073.70,Groceries,28091,Western Europea
54833.60,Home Supplies,27613,Eastern Europea
62214.70,Groceries,26602,Scandanavian
29457.20,Home Supplies,29528,Africa
61468.40,Clothing,29748,China
49925.90,Misc,23035,Africa
23249.90,Communication,23030,Africa
46488.80,Electronics,23844,China
372982.80,Entertainment,29505,Scandanavian
26704.10,Communication,27624,Eastern Europea
25490.00,Misc,21675,Eastern Europea
77268.80,Misc,26269,Scandanavian
203624.40,Communication,26751,South American
188439.60,Lodging,23682,Mid East / Sout
21414.10,Meals,23728,Mid East / Sout
52815.80,Meals,29473,Scandanavian
45531.20,Lodging,25683,South American
70582.70,Lodging,27598,Eastern Europea
99783.40,Meals,23173,Africa
81937.10,Electronics,21611,Eastern Europea
60493.70,Communication,22389,Japan
56013.50,Communication,21029,China
38554.40,Home Supplies,27398,Eastern Europea
57125.00,Clothing,28474,Western Europea
113252.10,Home Supplies,28549,Africa
70251.70,Clothing,25408,Western Europea
299948.70,Clothing,29834,Japan
57535.40,Home Supplies,29399,Japan
84502.10,Clothing,26473,Scandanavian
19094.60,Home Supplies,26548,Scandanavian
26584.40,Misc,24973,Scandanavian
60818.60,Lodging,20259,Japan
37323.20,Groceries,26708,Eastern Europea
36468.20,Groceries,20242,Africa
38992.90,Misc,22099,Japan
320223.20,Misc,20739,China
39033.20,Misc,21589,Eastern Europea
63281.00,Communication,22094,Japan
7757.30,Entertainment,22804,Mid East / Sout
14033.00,Communication,27816,Western Europea
84724.40,Communication,20070,Africa
76493.20,Entertainment,26079,South American
154770.90,Communication,29731,Africa
308749.10,Meals,22878,Africa
83783.90,Electronics,26291,South American
24241.70,Lodging,26533,Scandanavian
29576.90,Lodging,26748,Eastern Europea
9279.20,Clothing,23047,Africa
61605.20,Entertainment,22910,Mid East / Sout
82871.50,Home Supplies,21762,Eastern Europea
147343.40,Groceries,20537,Japan
45052.40,Home Supplies,27292,Eastern Europea
202159.90,Home Supplies,23122,Africa
118696.00,Meals,27962,Western Europea
75456.20,Communication,29625,Western Europea
21676.70,Lodging,26854,Eastern Europea
100119.30,Misc,22843,Mid East / Sout
1652.60,Groceries,20986,China
119756.20,Clothing,21793,Eastern Europea
29895.70,Groceries,20431,Japan
41962.20,Clothing,21238,China
25849.10,Groceries,21496,Eastern Europea
85083.50,Clothing,20728,China
175404.50,Home Supplies,25037,Scandanavian
10749.80,Clothing,24962,Scandanavian
78049.30,Entertainment,21845,Japan
189232.30,Home Supplies,23677,Mid East / Sout
14819.60,Entertainment,20995,China
95354.50,Communication,25137,Scandanavian
118422.40,Electronics,24843,Scandanavian
274965.60,Lodging,25171,Western Europea
86496.70,Communication,22878,Africa
78209.30,Lodging,27469,Eastern Europea
61639.40,Communication,20580,Japan
72104.60,Communication,28240,Western Europea
23267.00,Meals,22598,Africa
57700.30,Electronics,28627,Eastern Europea
143279.70,Home Supplies,29270,Japan
92464.60,Misc,28502,Mid East / Sout
201242.60,Home Supplies,26036,South American
243450.30,Home Supplies,23316,Africa
62152.40,Groceries,25154,South American
73318.70,Meals,29705,Japan
87020.70,Groceries,28580,China
66934.30,Electronics,29886,Western Europea
140520.50,Home Supplies,29717,Western Europea
11023.40,Communication,20222,Africa
131679.80,Entertainment,24653,Eastern Europea
14734.10,Electronics,20864,China
131093.50,Electronics,24290,Mid East / Sout
58749.50,Meals,21006,China
34364.90,Communication,23431,Africa
9159.50,Entertainment,27951,Western Europea
59108.60,Electronics,28077,Western Europea
65857.00,Meals,20236,Africa
46003.90,Communication,26073,South American
15247.10,Electronics,25779,South American
91968.70,Lodging,26107,South American
47001.80,Meals,26024,South American
106537.90,Clothing,27538,Eastern Europea
252297.10,Misc,25399,Western Europea
11621.90,Home Supplies,22380,Japan
32928.50,Home Supplies,28678,Japan
14563.10,Electronics,29563,China
175222.50,Misc,27463,South American
117875.20,Entertainment,23717,Mid East / Sout
140327.50,Communication,25240,Western Europea
55466.30,Entertainment,20483,Japan
2439.20,Clothing,25474,Scandanavian
9518.60,Lodging,21873,Japan
284701.60,Lodging,21298,Eastern Europea
75922.80,Entertainment,21227,China
79742.20,Meals,28832,Eastern Europea
31150.10,Electronics,29013,Scandanavian
8219.00,Communication,24367,Mid East / Sout
46899.20,Lodging,23362,Africa
258897.70,Meals,24470,Mid East / Sout
58076.50,Misc,28694,Western Europea
120628.30,Electronics,24393,Mid East / Sout
49116.10,Entertainment,25206,Western Europea
236923.00,Clothing,20751,China
79308.60,Home Supplies,20826,China
62699.60,Meals,26768,South American
120200.80,Electronics,24651,Eastern Europea
78397.40,Clothing,22626,Africa
161582.80,Home Supplies,24805,Scandanavian
44180.30,Groceries,28683,Mid East / Sout
39836.90,Clothing,24730,Scandanavian
80911.10,Home Supplies,21444,Japan
127075.00,Misc,26630,Scandanavian
47053.10,Home Supplies,27742,South American
67846.70,Entertainment,22781,Mid East / Sout
171499.60,Groceries,25346,Western Europea
40520.90,Communication,20388,China
78346.10,Lodging,20937,China
22360.70,Communication,28048,South American
60066.20,Meals,27833,Western Europea
84485.00,Lodging,29894,Africa
131600.40,Electronics,20417,China
39255.50,Entertainment,29823,Scandanavian
1208.00,Communication,20414,China
146135.40,Communication,23814,China
49088.00,Entertainment,24590,Mid East / Sout
7483.70,Communication,27945,South American
43034.60,Communication,29602,South American
133231.00,Groceries,24281,Mid East / Sout
71807.80,Communication,21453,Japan
166529.60,Communication,25881,South American
63759.80,Misc,24526,Mid East / Sout
8732.00,Entertainment,21124,China
309011.70,Misc,27400,South American
31098.80,Clothing,26897,Eastern Europea
64768.70,Groceries,26090,South American
36587.90,Groceries,21856,Japan
135129.10,Misc,25591,Western Europea
74635.40,Groceries,27644,Eastern Europea
66786.50,Lodging,29533,Scandanavian
20325.80,Meals,27601,South American
225986.30,Meals,21301,Eastern Europea
460942.80,Electronics,22842,Africa
153693.60,Electronics,21482,Japan
19043.30,Lodging,23170,Africa
9723.80,Meals,28961,Africa
65846.00,Lodging,21810,Eastern Europea
80494.60,Misc,25462,Scandanavian
89933.80,Clothing,27899,Western Europea
77519.20,Entertainment,25718,South American
69533.50,Meals,28640,Mid East / Sout
18957.80,Communication,28177,Western Europea
212197.60,Communication,20517,Japan
113286.30,Electronics,25163,Western Europea
81475.40,Electronics,22521,Africa
227838.00,Clothing,20239,China
31201.40,Entertainment,27078,Eastern Europea
169248.50,Misc,26822,South American
106925.10,Misc,28207,Western Europea
86809.40,Electronics,25266,Western Europea
49030.60,Clothing,29195,Western Europea
99236.20,Misc,29567,Eastern Europea
45052.40,Home Supplies,25317,Western Europea
37802.00,Meals,23239,Africa
12938.60,Home Supplies,29551,Eastern Europea
53414.30,Lodging,20425,Japan
18479.00,Meals,28025,Western Europea
99783.40,Meals,26665,South American
136975.90,Meals,25895,South American
114402.70,Entertainment,22292,Japan
30500.30,Entertainment,25821,South American
2935.10,Lodging,22234,Japan
45103.70,Electronics,22289,Japan
42966.20,Misc,27758,Western Europea
24720.50,Communication,25111,Scandanavian
108094.00,Meals,27704,Eastern Europea
247150.00,Communication,23751,Mid East / Sout
10271.00,Entertainment,24782,South American
56246.80,Entertainment,26142,South American
323563.80,Communication,29113,Eastern Europea
93712.90,Communication,27753,Western Europea
64443.80,Misc,26398,Scandanavian
25028.30,Lodging,26596,Scandanavian
113412.10,Misc,28528,Western Europea
26875.10,Groceries,26322,Scandanavian
72782.50,Groceries,21793,Eastern Europea
65463.70,Misc,21100,China
130745.40,Groceries,23024,Africa
170742.30,Home Supplies,22675,Africa
14717.00,Lodging,23067,Africa
16409.90,Lodging,29021,Africa
77884.40,Home Supplies,26909,Eastern Europea
8150.60,Meals,26831,Eastern Europea
122697.40,Meals,20070,Africa
70736.60,Entertainment,25526,Scandanavian
6919.40,Meals,21430,Japan
111650.80,Electronics,21353,Eastern Europea
22258.10,Entertainment,27527,Eastern Europea
31440.80,Misc,27592,Eastern Europea
18376.40,Lodging,29662,Mid East / Sout
60276.30,Communication,24687,Scandanavian
103203.40,Clothing,24409,Mid East / Sout
35168.60,Home Supplies,24484,Mid East / Sout
72987.70,Groceries,29645,South American
163537.10,Communication,26047,South American
193194.60,Misc,29696,South American
111223.30,Misc,20035,China
154747.70,Groceries,22088,Japan
118165.90,Home Supplies,20019,China
97851.10,Home Supplies,27845,South American
76783.90,Entertainment,27630,Eastern Europea
47634.50,Lodging,29957,Eastern Europea
1738.10,Clothing,27770,South American
69796.10,Home Supplies,26485,Scandanavian
46505.90,Entertainment,20291,China
3926.90,Lodging,24235,Mid East / Sout
48226.90,Entertainment,29952,Western Europea
235801.70,Meals,27896,Western Europea
267236.40,Communication,25303,Western Europea
47788.40,Communication,23943,China
373101.30,Lodging,22875,Africa
34809.50,Meals,20365,China
16717.70,Electronics,20057,China
45326.00,Electronics,23457,Africa
89591.80,Meals,20044,Africa
121488.20,Clothing,23562,Mid East / Sout
15948.20,Home Supplies,23637,Mid East / Sout
55055.90,Lodging,21066,China
35162.50,Electronics,24227,Mid East / Sout
85100.60,Clothing,28835,South American
76157.30,Groceries,26219,Scandanavian
113343.70,Groceries,29619,Eastern Europea
165315.50,Home Supplies,25741,South American
70873.40,Electronics,27691,Eastern Europea
58715.30,Misc,28631,Africa
111901.20,Entertainment,26783,South American
123056.50,Meals,21109,China
