member_noSource;charge;amt
6661;272;569195.6
1752;17;54594.2
4746;204;557797.2
3667;34;131384.2
1503;68;247857.2
4308;102;386748.3
3767;51;140988.3
2144;51;98785.5
4105;85;128766.7
4646;204;470535.9
2044;51;165458.4
4205;17;21693.8
3126;68;123694.1
5287;153;445571.1
6369;221;439271
4600;68;131611.4
4059;34;12282.7
3518;34;104708.2
2190;17;11553.5
2731;51;111610.5
3813;136;350142.1
5141;153;272673
5682;102;197280.3
3272;68;192829.4
4354;51;77188.2
3000;85;221893.3
5917;153;365303.7
6581;272;631268.6
2857;102;274931.4
6558;153;360720.9
7789;221;476839.7
4543;136;380785.3
750;34;71175.1
7414;255;662961
9163;391;932716
9827;748;2069242
7248;204;334077.9
5084;221;539665.1
9804;714;1805828.7
9429;425;1050881.9
773;17;18256.7
9263;476;1139082.5
9970;1037;2894008.1
7099;170;470325.8
8622;340;792770.8
7955;238;545011.3
6040;153;291534.3
6458;170;486605
9286;374;1228825.7
5376;102;273016.2
458;34;24731.5
1291;17;39836.9
7122;153;567579.6
7391;170;356166.2
8596;289;713838.4
481;17;10937.9
8473;272;638296.7
8055;255;596134.2
9137;476;1327524.5
7932;272;737151.8
5413;119;285647
5164;119;439410.2
8745;323;850096.1
1832;34;57204.4
3398;34;81212.8
693;17;10647.2
4331;68;156868.1
4082;119;219589.7
2167;68;133800.2
6246;204;567681
1918;34;84017.2
3939;102;196014.9
1775;34;96996.1
2708;85;173637.1
1626;51;116159.1
3790;85;254058.4
4872;119;395018.6
544;17;17418.8
2459;34;78613.6
4623;102;214243.5
5705;119;230978.3
6787;51;162346.2
3541;119;176241.2
5954;119;313024.1
1526;17;54577.1
3690;51;115440.9
4231;102;372657.9
2067;68;226396.7
4772;204;533036.4
3149;68;114511.4
2608;51;129035.4
5313;170;383714.3
6332;136;389574.7
3415;136;292309.9
7328;119;344505.2
2419;85;130083.4
6355;272;683457.8
7351;374;949240.7
8347;187;663703.6
9890;799;2244293.5
2396;51;136422.6
4457;85;135401.5
3461;68;179713.7
9366;408;1035446.7
9867;595;1687727.5
8871;408;1089123.6
5453;272;784159.7
7374;289;801390.4
8370;306;777393
9844;663;1538420.1
4434;102;275940.3
8848;391;881022.7
7852;255;610327.2
3438;204;508600.5
9389;476;1123624.1
2442;17;4542.5
8393;323;812014.4
922;34;132273.4
999;17;14922.2
9412;544;1273139.2
2920;34;84273.7
7829;187;434785.9
4912;68;180449
7806;119;215297.6
5476;153;305624.7
2937;34;25432.6
4935;119;251122.1
1540;17;41786.3
5791;119;239648
6873;170;329917.7
8330;357;998477.7
4002;119;355757
9326;374;993068
9907;1003;2546633.8
4998;119;153412.7
6017;153;328607.1
7892;221;460269.8
8888;306;922212.9
1855;68;186793.1
4394;51;165099.3
859;17;21112.4
5390;119;272497.1
8284;374;1086194.6
9953;1088;2636104.7
2379;34;148894.6
2874;68;204833.6
3375;85;168524.2
3956;102;273666
1360;17;27388.1
8934;374;1021112
1901;68;241581.5
7311;238;584290
2983;34;49013.5
4497;85;178100.2
3916;170;447035.6
8825;340;693129.1
2333;68;209672.9
1941;17;66854.9
6269;187;692192.2
6810;136;269806.3
8433;255;749367.3
2482;17;6833.9
1603;17;29645.3
318;17;55928
7743;340;732236.8
5751;238;585965.8
6747;153;341055.9
3830;68;182757.5
2834;17;19641.8
3023;68;134774.9
5728;119;400661.6
4849;85;131981.5
129;17;45856.1
8785;289;958163.2
9781;714;2025409.8
1125;34;63924.7
6535;238;427175.2
9452;459;1005725.7
5539;51;137670.9
4042;85;222679.9
3046;51;150290.7
8456;289;769481.8
1792;17;5722.4
5038;85;202843.9
4520;68;157415.3
9475;459;1201315.5
3524;102;320673.9
7766;238;829367.2
6770;170;361279.1
6057;102;180317.1
8762;374;823966.1
2811;34;147629.2
5516;153;338114.7
4065;85;177655.6
1815;34;43336.3
5061;102;323974.2
584;17;62956.1
3501;85;267550.3
9993;1479;3856203.3
1337;68;120000.5
7076;221;668171.6
9240;459;1134796.5
7437;221;632962.7
7978;204;588252.3
1666;17;13314.8
4583;153;368227.8
5994;170;447497.3
8911;408;745584.6
3587;85;245833.3
7915;221;464134.4
8519;357;931753.5
6896;136;271225.6
6292;136;400347.7
4371;136;443833
1878;17;50336.3
7288;272;845565.8
7617;255;606667.8
8699;357;734641.8
3289;51;153915.9
9538;374;810046.7
6206;136;400570
5210;68;161245.7
2960;68;227610.8
1964;34;89626
6684;119;433698.8
1274;51;137157.9
9930;748;1845095.2
2897;34;88069.9
7680;255;644698.2
5602;85;193934.8
8307;238;718354
9303;510;1408155.9
7225;204;559729.5
2356;34;18353.2
2270;85;238531.6
4975;136;265736.5
6598;187;396174.1
3979;119;231935.9
3893;102;219117
3352;102;291296.1
8221;238;643609.9
6833;340;690700.9
8997;340;665461.3
4669;102;185122.2
2253;85;248073.4
7826;204;490748.1
6498;170;554081.6
3581;136;299406.4
902;34;109923.7
9392;374;979097.3
7849;323;811193.6
6521;136;282015.7
2230;17;64956.8
687;17;37408.7
6452;153;403659
710;17;12921.5
5124;136;209050
2207;17;18222.5
5147;187;462180.1
2061;34;46653.7
6475;170;390742.4
856;17;65538.2
2084;51;170383.2
6329;187;523859.8
5001;136;390908.5
5078;153;352786.5
3750;34;97081.6
5101;102;391365.3
3435;51;73392
3773;34;89899.6
6306;221;474445.7
2107;68;150814.7
4978;102;334644.6
2376;85;162915.4
4955;85;190207
3627;68;181868.3
3458;68;115657.1
2130;34;116353.3
4809;119;193768.7
3481;68;230415.2
3727;68;157586.3
3604;34;62317.3
2276;68;289136.6
9077;374;847700.9
5247;136;237658.3
3919;68;233253.8
1002;34;127417
7749;306;665028.9
9515;391;1084478.5
6183;85;310573.9
4855;119;247001
7703;272;598111.7
5293;51;105198
6621;102;246288.9
6375;204;624264.9
1938;51;214603.8
7557;340;973449.4
6229;68;173831.3
6667;187;415633.9
418;17;60117.5
9661;374;932773.4
7995;289;772115.2
6767;136;327895
5439;85;182751.4
7603;238;564454
8931;340;772507.3
8287;357;930385.5
9615;544;1432630.9
9369;442;954141.1
9223;476;1107259.4
7895;323;925438.7
9469;476;1210167.2
8141;357;1139073.9
8977;357;917235.6
3996;119;254764.4
6083;204;593228.4
5585;221;486672.2
1838;34;81332.5
5562;102;350068.8
4517;102;222246.3
4019;68;83235.5
6060;170;437305.7
464;17;49994.3
4211;153;337105.8
5370;153;496306.8
9784;748;2049354.7
7457;221;493221.5
7434;221;615264.2
4188;34;27775.3
3143;102;304189.5
5393;85;229006.9
1171;34;121107.1
4586;68;160989.2
3335;51;120126.3
2837;68;154234.7
3312;102;254052.3
7265;306;749109.6
9976;952;2325634.6
1148;17;68017.7
2814;34;66370
1463;68;168222.5
3212;17;8766.2
2545;51;167510.4
4709;85;167549.5
1440;34;62556.7
2645;85;287830.9
5891;85;131075.2
2522;102;289107.3
4686;68;186399.8
9990;884;2249495.6
9492;510;1491467.1
5662;68;152302.4
6160;187;394156.3
587;34;55939
89;17;25763.6
4417;136;434034.7
7726;187;484444.3
3896;102;242971.5
2353;102;318707.4
7228;170;519214.7
1961;51;157199.1
8616;221;553293.8
3043;85;124833.7
4288;136;372303.7
7534;170;359723
8602;357;907249.2
6352;153;410823.9
4225;102;265953.9
979;17;20975.6
5270;204;418962.3
9684;425;1062646.7
8410;238;636410.8
8908;323;804952.1
1669;17;13246.4
6744;119;212681.3
8310;187;334699.6
4480;85;240857.2
6644;204;422758.5
8808;323;832825.1
7036;289;630202.3
8118;187;434905.6
295;17;28499.6
9200;357;778930.8
1377;68;198882.8
8018;357;930129
6936;238;646551.1
9100;255;627204.9
5854;170;359671.7
1755;85;203049.1
4079;102;269271.3
9913;765;1592180.1
6996;221;580482.8
3083;34;87796.3
2751;68;138896
6000;221;564425.9
3060;34;159924.1
7019;136;403545.4
8702;408;1067492.1
8516;306;741807.9
4102;102;367288.5
2774;34;104400.4
3106;51;158806.5
9721;578;1358199.5
8725;374;1029046.4
7165;238;483211.9
2914;85;260043.4
8748;238;674389.9
5499;119;388349.6
335;17;13280.6
6827;238;720269.2
4248;119;332039.3
8493;289;718917.1
1586;68;172959.2
1609;68;82568.6
4271;136;434804.2
8470;306;891432.9
4294;119;234808.7
5768;221;622463.3
5522;136;405358
6850;187;530614.3
4440;85;173414.8
1563;68;176122.7
6973;306;993109.5
5330;119;312750.5
1500;68;131354.9
8579;272;799224.8
8247;544;1269650.8
9575;612;1780249.5
4749;102;308892
8685;357;1021904.7
4357;170;404747.3
1546;34;102673.3
2628;34;75484.3
8971;408;919628.4
4311;119;275489.6
3229;102;225153.3
1692;51;78368.1
3020;85;255118.6
8639;357;935241.9
7643;272;698334.8
5831;204;552889.5
916;17;69163.4
2582;85;233555.5
8831;408;1064328.6
7497;272;782791.7
3275;187;574390.3
9767;578;1322221.1
962;17;62528.6
8533;255;760807.2
7451;238;670166.2
6223;153;405659.7
7305;238;552295.9
8387;306;814756.5
2436;68;199772
4895;102;173357.4
5977;119;278345.3
7059;153;388884.6
272;17;79355
1108;17;35322.5
2668;34;67703.8
3166;102;238440
9830;510;1474521
2170;34;87403
3664;102;321580.2
7909;187;297438.7
7411;102;184147.5
6913;306;744219
3189;102;186182.4
3687;102;320742.3
2691;17;22805.3
6392;170;509724.2
6890;255;465062.7
7388;187;533230.6
9117;374;842468.3
9807;850;2255082.4
3856;68;131662.7
4165;102;205283.1
5914;187;445370.8
8078;340;912334
6412;153;401111.1
4663;136;305528.2
4142;51;214415.7
8101;272;634945.1
1978;51;163936.5
9140;731;2019726.5
6435;306;790884.9
5937;187;401953.9
6604;136;349235.8
3358;34;73825.6
9309;340;726610.9
5745;102;216210
7666;238;733726.9
8164;187;428202.4
504;17;12340.1
4334;119;342025.7
9160;459;1233600.3
8662;289;856965.4
3836;34;71859.1
4832;119;264545.6
4726;51;80608.2
8556;289;823073.2
5224;102;318963.9
8058;408;657485.4
9054;255;582351.6
1523;34;141404.8
2021;17;46437.5
5353;136;354502.6
896;34;101442.1
9246;578;1443716.6
2997;51;87961.2
9744;765;2009437.2
7580;204;621460.5
5416;255;695057.7
4918;51;54906.9
7082;204;516346.8
833;51;111080.4
3252;68;190555.1
2605;102;265834.2
7474;272;701224.7
7972;289;663957.7
5808;119;237886.7
3644;34;41814.4
9638;561;1395603.3
5310;170;306952.4
939;17;76413.8
4769;85;148773.7
2213;17;36605
9747;595;1362348.7
1921;34;31451.8
6830;153;363850.2
7494;170;559622
3913;85;68540.5
9724;510;1106152.8
6853;221;476070.2
8845;442;927738.7
1898;17;3208.7
2562;34;111992.8
1875;68;119761.1
547;51;177667.8
4792;51;194135.1
2539;68;172223.9
378;17;44009.3
5456;68;255945.5
4815;85;245474.2
6807;153;539604
5479;119;251447
1065;17;68496.5
401;34;128767.9
8327;238;655648.3
8914;255;658446.6
8304;408;1090731
6312;119;153481.1
8868;340;709015
8373;306;826128
8350;221;607295.6
8891;255;642218.7
4500;102;390920.7
9824;578;1482567.8
919;17;37733.6
9409;340;923773.9
4251;34;78032.2
1998;51;155078.7
7394;238;623175.4
6515;187;533196.4
4892;102;192150.3
9183;493;1329519.1
1357;51;137209.2
6953;323;661158.2
965;17;73780.4
9870;799;2121276.1
5874;255;696408.6
8035;289;632596.3
7348;153;364722.3
6561;289;959804.8
7889;204;596836.5
1606;51;84318.9
6020;136;387112.3
6266;204;652514.1
4938;187;484632.4
3080;51;125598.3
3418;51;183755.4
2831;34;97645.9
5333;153;479480.4
4995;68;170702
2439;85;152929
5974;153;391364.1
2980;170;315622.1
5433;102;223905
816;17;44436.8
3959;34;33691.9
2877;51;85139.7
3372;85;243781.3
4454;136;413155.6
5041;85;246192.4
2336;17;24293
7079;187;337384.3
1506;51;142168.2
9996;1224;3085238.7
6415;221;624788.9
3498;102;208292.7
7056;136;474835.3
2359;119;254388.2
4351;85;171243.1
5064;102;355369.8
3521;51;159302.4
7222;340;978203.2
1457;34;111633.7
8788;374;964340
4374;136;334204.9
5207;51;122947.8
3710;119;200095.7
2124;68;208236.5
8453;272;661347.5
5725;204;503573.1
5184;85;238087
8430;323;754900.4
6438;85;240976.9
1483;17;39341
6389;136;307118.5
2147;34;124390.3
5848;102;340732.2
5748;204;420809.1
8665;374;911176.1
9329;306;716243.4
673;17;6509
7912;221;500694.2
6750;170;467299.1
9306;493;1105492
9927;663;1468293
8765;459;1184215.5
7763;170;545753.9
7291;374;889595.9
9455;527;1240518.5
7832;255;697195.2
1583;51;134421.9
8994;510;1412875.5
4666;102;262773.3
4915;119;284039.6
9386;425;1007157.2
1191;34;33794.5
6681;153;378145.8
4523;68;213742.7
8224;272;799412.9
2900;85;235573.3
9847;901;2250703.6
3206;34;143867.2
4039;85;258008.5
9206;408;869730.6
3292;85;212864.5
2957;17;32398.4
7620;221;349496
7371;391;1020661.3
6538;204;455864.1
6289;170;547139
6930;136;253749.4
942;17;9604.1
9598;578;1445700.2
5356;119;284501.3
5307;102;180761.7
6979;238;489453.4
2565;34;76920.7
5897;68;175045.4
2024;51;112978.5
4580;119;304679.3
8161;289;588478.3
3833;102;329668.5
5997;153;399469.5
3441;85;196192
5605;170;316118
3982;85;190224.1
6146;170;447514.4
1277;17;1173.8
1818;34;163378.3
7660;289;716523.1
3747;68;174669.2
5668;85;197474.5
6664;119;272052.5
8679;306;718312.5
2728;17;33834.8
7683;255;565337.1
9558;527;1479405.5
9698;612;1494149.4
4125;153;358446.6
9535;425;970785.5
3129;51;143142.9
8539;323;742537.1
8061;306;809130.6
7520;204;487601.7
3584;68;161587.7
2250;51;106925.1
9157;136;343062.7
6163;187;387213.7
3607;51;204908.1
4148;102;223118.4
5599;102;249281.4
6140;238;401439.7
2273;34;61753
7142;221;608817.5
6209;221;576310.4
212;17;17538.5
5622;119;358151
8201;323;916666.4
7119;170;349651.1
1709;34;94585
5127;85;241421.5
2227;34;62488.3
5104;102;247776.6
6186;221;556970.3
5645;68;115417.7
7998;289;739009.6
6077;170;413724.8
3670;68;132021.8
5081;51;114876.6
1749;51;189894.3
1168;51;114637.2
4689;85;162641.8
9220;425;1000744.7
5685;153;298989.9
4062;187;569978.5
3066;51;171255.3
2187;17;22702.7
9017;374;914715.8
2047;34;42652.3
9621;748;1795710.4
2588;102;253624.8
7159;170;405055.1
667;34;76801
1254;34;68165.5
9080;289;687265
5582;85;141078.7
7746;221;459893.6
7597;238;515616.4
3269;51;191997.6
4603;119;402388.7
5144;153;352769.4
1646;17;68086.1
9761;459;1032059.7
3810;136;277125.1
8138;374;1040110.1
9472;510;1357916.1
1795;17;24258.8
6123;170;446197.7
5536;204;458309.4
2290;51;165766.2
1208;34;146774.2
7205;340;857306.2
7700;187;462966.7
6618;204;518518.5
9518;612;1591482.6
3332;85;223227.1
6249;136;286889.2
7245;255;630163.2
2525;51;174538.5
5230;187;536548
6578;153;389602.8
8742;374;1012869.8
1835;68;269334.8
3999;51;51606.6
1984;102;240355.2
7935;306;689789.7
5771;153;502479.9
8476;425;1041425.6
9283;595;1563273.7
6704;204;563696.7
9950;901;2438564.2
7786;391;1003988.8
6037;153;492596.1
4540;102;257677.5
3873;85;246739.6
2791;34;137899.3
1294;51;123631.8
3850;136;236085.1
4563;102;270434.1
9432;476;1239134.6
4022;102;154188.3
6727;85;249236.2
63;17;8612.3
776;17;52986.8
7809;272;526411.4
1145;17;63537.5
1858;34;43900.6
7268;323;813399.5
2768;34;129708.4
3309;68;106064
1317;68;140845.4
9973;833;2355910.1
4085;34;72543.1
8413;374;721673.9
9495;527;1398146.3
5167;51;119339.7
839;51;131343.9
3003;17;65811.8
7331;153;472657.5
7872;391;1070695.9
2462;34;138378.1
3544;68;188007.2
8954;493;1164811.9
6790;153;397263.6
5708;34;102057.7
4626;136;314762.2
5559;136;424339
3395;119;242315.6
8805;306;813764.7
8264;374;817946.9
6641;204;539773.8
7723;289;639949.3
2854;34;106230.1
2313;17;14905.1
9887;697;1679807.8
6100;238;634393
690;17;51516.2
5018;187;606487
1772;51;108840.3
7182;272;644794.7
9346;544;1383400
1231;17;53705
4477;170;486006.5
3936;85;240976.9
7423;306;699314.4
3178;34;144517
8751;306;689892.3
4506;153;358566.3
8728;442;1045968.1
238;17;28961.3
7400;204;528590.4
5857;102;364672.2
4529;136;358435.6
8797;357;1061850.3
3132;85;176424.4
1804;17;84604.7
3155;51;147896.7
4483;68;102592.7
8774;255;398372.7
3009;34;69379.6
8920;357;924126.9
1758;17;2661.5
4337;85;202074.4
3109;136;269447.2
8943;391;837622.9
1781;34;100330.6
2986;68;203123.6
1658;51;145348.8
1635;17;82091
1466;34;55699.6
2963;51;200085.9
1489;17;50951.9
1612;17;11519.3
7500;323;957398.6
2840;51;142134
1512;17;73592.3
6172;136;256673.5
4406;102;271306.2
5734;119;309911.9
1904;51;52239.3
576;17;64597.7
9066;425;1315179.5
8874;374;907311.5
8628;204;467457.9
4214;51;107027.7
9956;918;2095480.8
7546;204;441123.9
2886;34;79024
9020;323;856217.9
3278;85;209632.6
7692;221;536159.6
3032;102;353198.1
1950;51;168314.1
4360;17;76482.2
4260;102;326351.1
3424;68;246660.2
2096;17;8219
5588;170;328276.1
7254;153;243243.9
8582;306;848016
7646;323;567672.5
9810;510;1284488.7
8482;408;1004974.5
4652;153;341295.3
3324;136;381777.1
6318;187;464608.3
6962;204;417645.6
5880;170;443342
3470;51;88782
4798;153;346134.6
5634;204;588850.8
4552;34;77519.2
7108;255;706206.9
6026;170;427627.1
4944;85;300023.2
5780;153;291996
6272;153;440868.6
7354;272;667708.7
8336;323;720272.9
5419;136;352382.2
4921;68;144539
7838;238;685624.6
3570;136;467944
4068;68;106645.4
8359;306;738729.9
699;34;78579.4
7861;221;550147.4
6464;170;398266.4
6793;289;850108.3
9710;425;1083491.6
3547;68;256013.9
9733;748;1828730.5
5442;136;289573.9
2196;34;82957
6487;238;603784
2073;17;44436.8
9335;629;1595358.2
2594;17;42863.6
1320;17;23797.1
3945;68;148796.9
822;17;62135.3
9312;493;1288222.6
1220;17;14717
1881;51;46562.1
9212;357;780897.3
1389;17;21813.5
2694;85;298911.7
2571;68;215025.2
9504;527;1296008
7085;238;684974.8
3255;51;142544.4
6587;153;334643.4
6693;187;493986.1
2863;153;337841.1
2402;17;16444.1
6195;187;360811.3
2365;51;122075.7
9043;391;1236805.3
7961;323;769093.4
5711;102;313851
4629;85;261924.4
4237;68;109894.4
8651;391;1073500.3
5319;187;260400.1
7569;204;558019.5
9833;663;1552390.8
6003;187;404912.2
8167;255;631907.4
3839;68;128516.3
7669;170;463691
7277;289;798175.6
3447;34;120046.9
9441;374;950591.6
5611;51;141210.6
5113;68;195411.5
9541;578;1266919.7
7377;272;834314
5213;136;362231.8
6295;187;452689.6
8459;340;827689
6985;238;585863.2
8067;289;727843.3
5903;102;318108.9
3739;85;201629.8
4821;153;195928.2
4008;51;149692.2
5004;136;412505.8
9249;544;1240016.5
759;17;85408.4
7921;340;973056.1
1091;17;5807.9
3676;136;441456.1
6902;238;489094.3
7898;238;542942.2
3699;102;218843.4
5027;17;76721.6
8230;204;372587.1
6710;204;563559.9
805;17;4354.4
6879;255;735601.8
6733;272;497426.9
7729;374;940280.3
5405;238;561700.9
5196;119;310989.2
8422;255;617475
6756;289;665428.3
6501;170;490880
2256;102;303676.5
928;68;115041.5
5173;153;479600.1
3507;68;116751.5
9650;612;1792424.7
5150;187;476663.8
3484;34;51133.9
2279;51;168108.9
9458;578;1510440.8
8376;289;666676.6
3553;68;123677
2471;34;152878.9
9627;544;1380048.4
2448;17;54166.7
9481;578;1402984.4
3530;68;199002.5
8399;340;761939.5
9172;391;790580.8
2425;51;104343
1014;34;122594.8
5674;136;385556.2
6670;170;451567.1
5342;187;473072.8
2342;85;165822.4
6232;136;356161.3
1406;17;29115.2
2734;34;46174.9
3361;102;153487.2
6564;272;909075.2
9564;561;1552803.6
2033;34;91472.8
5236;187;562232.2
5628;119;372361.1
6278;102;283190.7
5090;51;118963.5
9418;374;878361.2
7752;255;623254.8
1260;51;134575.8
2926;68;110903.3
8090;221;555431.3
1841;51;112294.5
6424;238;581536.9
2488;68;131047.1
8980;425;1044059
4154;119;369693.5
5482;187;460093.9
6816;170;481594.7
3962;68;205466.3
5044;119;394556.9
2880;68;125609.3
9026;323;724325.6
6862;204;669836.4
7944;187;474834.1
4091;68;155175.2
3095;34;36940.9
1174;17;2712.8
8834;374;1057671.8
3593;102;153453
676;17;12989.9
4589;102;320571.3
3072;34;127382.8
7792;289;613170.7
4114;85;251048.8
1864;17;40982.6
3401;17;24310.1
8811;272;570666.2
868;17;58835
7815;374;838774.7
6086;68;228671
7337;221;556423.1
4420;68;241273.7
1343;17;38657
3922;153;450513
845;34;118935.4
4781;136;360367.9
3115;85;165565.9
5820;17;33817.7
7486;204;540885.3
7984;272;653840.6
7294;153;468331.2
9873;595;1482100
8791;408;938609.4
4612;119;233184.2
7317;187;366539.8
1366;17;33817.7
653;17;41632.4
3338;34;101236.9
5757;85;128612.8
6255;204;441722.4
9587;731;1731164
1927;17;19077.5
5259;119;223368.8
9089;391;702515.8
8568;374;1052832.5
5863;119;350267.9
6043;51;93467.4
8960;323;891478.1
9893;833;2051427.5
9979;1105;2706841.3
6647;187;432819.4
2319;51;91381.2
5565;170;484553
5651;119;302353.7
8897;272;651651.8
