member_noSource,Month_Name,region_noSource,gender,Total
529,Avril,2,0,5128.2
529,Juillet,2,0,79287.4
529,Juin,2,0,14256
529,Mars,2,0,991.1
529,Octobre,2,0,70464
536,Juillet,3,1,1168.2
536,Octobre,3,1,16832
538,Août,8,1,37136
538,Mai,8,1,2564.1
540,Avril,5,1,4895
540,Juillet,5,1,71040
540,Juin,5,1,72224
540,Mars,5,1,4976.4
541,Août,5,0,49920
541,Juin,5,0,2956.8
541,Mai,5,0,3443
541,Septembre,5,0,42848
544,Août,7,1,16288
544,Mai,7,1,1130.8
545,Juin,2,0,5024
545,Mars,2,0,356.4
547,Août,7,0,34976
547,Avril,7,0,4988.5
547,Juillet,7,0,72400
547,Juin,7,0,58832
547,Mai,7,0,2415.6
547,Mars,7,0,4055.7
548,Août,5,1,51920
548,Mai,5,1,3580.5
552,Avril,3,1,3589.3
552,Juillet,3,1,52048
553,Juin,3,0,59696
553,Mars,3,0,4115.1
554,Juillet,5,1,7983.8
554,Octobre,5,1,115648
555,Août,7,0,33072
555,Juin,7,0,1697.3
555,Mai,7,0,2284.7
555,Septembre,7,0,24528
559,Août,5,0,74704
559,Mai,5,0,5146.9
560,Août,7,1,45744
560,Mai,7,1,3155.9
562,Avril,8,1,5413.1
562,Juillet,8,1,78576
562,Juin,8,1,3682.8
562,Septembre,8,1,53408
566,Juin,2,1,3287.9
566,Septembre,2,1,47664
567,Août,8,0,5648
567,Juin,8,0,3710.3
567,Mai,8,0,399.3
567,Septembre,8,0,53808
568,Juin,4,1,3742.2
568,Septembre,4,1,54272
569,Août,9,0,64512
569,Mai,9,0,4446.2
570,Juin,8,1,2128.5
570,Septembre,8,1,30800
571,Août,4,0,69840
571,Mai,4,0,4812.5
572,Août,4,1,29392
572,Mai,4,1,2031.7
576,Juin,8,1,4165.7
576,Septembre,8,1,60432
577,Avril,6,0,55
577,Juillet,6,0,640
579,Avril,9,0,3113
579,Juillet,9,0,45120
579,Juin,9,0,3741.1
579,Septembre,9,0,54256
581,Juin,3,0,71680
581,Mars,3,0,4939
584,Août,9,1,58896
584,Mai,9,1,4060.1
586,Juin,7,1,45614.4
586,Mars,7,1,2785.2
586,Septembre,7,1,76384
587,Avril,5,0,149.6
587,Juillet,5,0,2016
587,Juin,5,0,50304
587,Mars,5,0,3469.4
589,Juin,7,0,54080
589,Mars,7,0,3729
591,Août,5,0,74640
591,Mai,5,0,5142.5
592,Avril,7,1,3742.2
592,Juillet,7,1,54272
593,Juillet,2,0,3710.3
593,Octobre,2,0,53808
601,Juin,8,0,4541.9
601,Septembre,8,0,65904
603,Avril,9,0,2565.2
603,Juillet,9,0,37152
605,Août,2,0,8576
605,Mai,2,0,600.6
606,Juin,2,1,71584
606,Mars,2,1,4932.4
607,Avril,7,0,1587.3
607,Juillet,7,0,22928
608,Août,6,1,67328
608,Mai,6,1,4639.8
611,Août,9,0,53472
611,Mai,9,0,3698.2
619,Avril,5,0,1182.5
619,Juillet,5,0,17040
621,Août,4,0,65200
621,Mai,4,0,4493.5
625,Juin,9,0,53452.8
625,Mars,9,0,3676.2
625,Septembre,9,0,1888
626,Août,9,1,54976
626,Mai,9,1,3790.6
628,Avril,5,1,2692.8
628,Juillet,5,1,39008
629,Août,3,0,49248
629,Avril,3,0,2393.6
629,Juillet,3,0,34656
629,Juin,3,0,5424
629,Mai,3,0,3396.8
629,Mars,3,0,383.9
631,Juin,2,0,3457.3
631,Septembre,2,0,50128
632,Juillet,9,1,2787.4
632,Octobre,9,1,40384
633,Juin,3,0,74464
633,Mars,3,0,5141.4
635,Juillet,7,0,3671.8
635,Juin,7,0,4479.2
635,Octobre,7,0,53248
635,Septembre,7,0,64992
641,Juillet,6,0,2285.8
641,Octobre,6,0,33088
642,Juin,8,1,2005.3
642,Septembre,8,1,29008
643,Juin,2,0,735.9
643,Septembre,2,0,10544
645,Juin,5,0,12195.4
645,Mars,5,0,827.2
645,Septembre,5,0,4544
646,Août,2,1,26080
646,Mai,2,1,1804
651,Août,7,0,56160
651,Juin,7,0,1648
651,Mai,7,0,3872
651,Mars,7,0,124.3
653,Avril,7,0,2688.4
653,Juillet,7,0,38944
654,Avril,5,1,3440.8
654,Juillet,5,1,49888
656,Août,7,1,68480
656,Mai,7,1,4719
657,Avril,2,0,2939.2
657,Juillet,2,0,42592
658,Avril,5,1,3460.6
658,Juillet,5,1,50176
658,Juin,5,1,713.9
658,Septembre,5,1,10224
659,Juin,5,0,72832
659,Mars,5,0,5018.2
662,Juin,5,1,4759.7
662,Septembre,5,1,69072
663,Août,5,0,41280
663,Mai,5,0,2849
664,Juin,8,1,25536
664,Mars,8,1,1766.6
666,Avril,2,1,4084.3
666,Juillet,2,1,59248
667,Août,3,0,9952
667,Juillet,3,0,4265.8
667,Mai,3,0,695.2
667,Octobre,3,0,61888
669,Août,4,0,44128
669,Mai,4,0,3044.8
670,Août,9,1,59600
670,Juin,9,1,554.4
670,Mai,9,1,4108.5
670,Septembre,9,1,7904
672,Avril,5,1,5170
672,Juillet,5,1,75040
673,Août,9,0,6080
673,Mai,9,0,429
675,Août,6,0,56080
675,Juin,6,0,490.6
675,Mai,6,0,3866.5
675,Septembre,6,0,6976
676,Juillet,4,1,845.9
676,Octobre,4,1,12144
678,Août,7,1,50832
678,Mai,7,1,3505.7
680,Avril,5,1,4230.6
680,Juillet,5,1,61376
684,Août,7,1,45008
684,Mai,7,1,3105.3
687,Juin,5,0,34992
687,Mars,5,0,2416.7
688,Juin,2,1,3912.7
688,Septembre,2,1,56752
689,Juin,7,0,39663.2
689,Mars,7,0,2454.1
689,Septembre,7,0,59872
690,Juin,3,1,48192
690,Mars,3,1,3324.2
692,Avril,3,1,2715.9
692,Juillet,3,1,39344
692,Juin,3,1,663.3
692,Septembre,3,1,9488
693,Juin,3,0,695.2
693,Septembre,3,0,9952
695,Avril,4,0,2278.1
695,Juillet,4,0,32976
695,Juin,4,0,50464
695,Mars,4,0,3480.4
696,Août,3,1,7744
696,Mai,3,1,543.4
698,Avril,7,1,233.2
698,Juillet,7,1,3232
699,Avril,4,0,3537.6
699,Juillet,4,0,52833.8
699,Octobre,4,0,22208
700,Août,8,1,59696
700,Mai,8,1,4115.1
703,Avril,5,0,5087.5
703,Juillet,5,0,73840
704,Août,5,1,50592
704,Mai,5,1,3489.2
708,Août,4,1,31552
708,Juin,4,1,5326.2
708,Mai,4,1,2180.2
708,Septembre,4,1,77312
710,Août,2,1,12080
710,Mai,2,1,841.5
711,Juillet,8,0,4511.1
711,Octobre,8,0,65456
715,Août,7,0,55120
715,Mai,7,0,3800.5
716,Août,6,1,128720
716,Mai,6,1,8871.5
719,Avril,4,0,5302
719,Juillet,4,0,76960
719,Juin,4,0,1441
719,Septembre,4,0,20800
721,Avril,9,0,4404.4
721,Juillet,9,0,63904
724,Juillet,6,1,4411
724,Octobre,6,1,64000
726,Avril,8,1,3809.3
726,Juillet,8,1,55248
726,Juin,8,1,56496
726,Mars,8,1,3895.1
727,Août,8,0,28960
727,Mai,8,0,2002
729,Août,6,0,21168
729,Juin,6,0,3999.6
729,Mai,6,0,1466.3
729,Septembre,6,0,58016
731,Juin,3,0,1270.5
731,Septembre,3,0,18320
732,Août,9,1,256
732,Avril,9,1,5087.5
732,Juillet,9,1,73840
732,Mai,9,1,28.6
734,Juin,8,1,4165.7
734,Septembre,8,1,60272
736,Août,5,1,19840
736,Mai,5,1,1386
738,Juin,9,1,5855.3
738,Septembre,9,1,84848
739,Août,2,0,62544
739,Mai,2,0,4310.9
740,Août,8,1,8928
740,Mai,8,1,624.8
741,Avril,5,0,3488.1
741,Juillet,5,0,50576
749,Juin,2,0,2271.5
749,Septembre,2,0,32880
750,Août,6,1,57040
750,Avril,6,1,666.6
750,Juillet,6,1,9536
750,Mai,6,1,3932.5
752,Avril,2,1,2817.1
752,Juillet,2,1,40816
755,Août,5,0,69808
755,Mai,5,0,4810.3
758,Juin,3,1,1189.1
758,Septembre,3,1,17136
759,Août,2,0,79904
759,Mai,2,0,5504.4
760,Juin,9,1,1635.7
760,Septembre,9,1,23632
762,Avril,2,1,1768.8
762,Juillet,2,1,27469.9
762,Octobre,2,1,27504
763,Juin,6,0,2226.4
763,Septembre,6,0,32224
766,Août,4,1,3392
766,Mai,4,1,244.2
767,Août,8,0,38368
767,Mai,8,0,2648.8
769,Juin,2,0,2453
769,Septembre,2,0,35520
773,Août,9,0,17072
773,Mai,9,0,1184.7
775,Avril,2,0,4100.8
775,Juillet,2,0,59488
776,Juin,2,1,3418.8
776,Septembre,2,1,49568
778,Juin,4,1,38384
778,Mars,4,1,2649.9
779,Août,2,0,2352
779,Juin,2,0,90.2
779,Mai,2,0,172.7
779,Septembre,2,0,1152
780,Août,8,1,72992
780,Mai,8,1,5040.2
783,Juin,7,0,25056
783,Mars,7,0,1733.6
785,Juin,7,0,202.4
785,Septembre,7,0,2784
786,Juin,7,1,3110.8
786,Septembre,7,1,45088
789,Juin,2,0,3043.7
789,Septembre,2,0,43952
790,Août,3,1,75216
790,Avril,3,1,1573
790,Juillet,3,1,22720
790,Mai,3,1,5182.1
794,Juin,4,1,2336
794,Mars,4,1,171.6
797,Avril,9,0,2990.9
797,Juillet,9,0,43344
798,Avril,3,1,3371.5
798,Juillet,3,1,48880
800,Juillet,8,1,5480.2
800,Octobre,8,1,79552
801,Avril,4,0,4867.5
801,Juillet,4,0,70640
802,Juin,9,1,2638.9
802,Septembre,9,1,38224
803,Avril,5,0,4862
803,Juillet,5,0,70560
803,Juin,5,0,5250.3
803,Septembre,5,0,76208
805,Avril,3,0,290.4
805,Juillet,3,0,4064
807,Août,4,0,78864
807,Mai,4,0,5432.9
808,Juillet,7,1,3551.9
808,Octobre,7,1,51504
809,Avril,8,0,4002.9
809,Juillet,8,0,58064
810,Août,3,1,37024
810,Juin,3,1,3011.8
810,Mai,3,1,2567.4
810,Septembre,3,1,43648
812,Août,9,1,256
812,Mai,9,1,28.6
813,Août,4,0,61056
813,Avril,4,0,5019.3
813,Juillet,4,0,72848
813,Mai,4,0,4219.6
814,Juin,3,1,83437.6
814,Mars,3,1,5368
814,Septembre,3,1,79936
815,Août,4,0,4416
815,Juin,4,0,56448
815,Mai,4,0,314.6
815,Mars,4,0,3891.8
816,Juin,5,1,41568
816,Mars,5,1,2868.8
817,Juin,8,0,1766.6
817,Septembre,8,0,25536
822,Avril,8,1,4007.3
822,Juillet,8,1,58128
823,Août,6,0,56032
823,Juin,6,0,2077.9
823,Mai,6,0,3863.2
823,Septembre,6,0,30064
824,Août,4,1,47744
824,Mai,4,1,3293.4
825,Avril,6,0,2127.4
825,Juillet,6,0,30784
825,Juin,6,0,3708.1
825,Septembre,6,0,53776
826,Août,5,1,41104
826,Mai,5,1,2836.9
828,Août,7,1,30688
828,Juin,7,1,4544.1
828,Mai,7,1,2120.8
828,Septembre,7,1,65936
829,Août,8,0,79280
829,Mai,8,0,5461.5
830,Juin,2,1,2410.1
830,Septembre,2,1,34896
831,Avril,5,0,4805.9
831,Juillet,5,0,69584
831,Juin,5,0,23456
831,Mars,5,0,1623.6
832,Août,3,1,15376
832,Mai,3,1,1068.1
833,Avril,5,0,4848.8
833,Juillet,5,0,70368
833,Juin,5,0,2327.6
833,Septembre,5,0,33536
834,Juin,6,1,1284.8
834,Septembre,6,1,18528
836,Juin,6,1,3126.2
836,Septembre,6,1,45312
839,Août,8,0,66432
839,Avril,8,0,886.6
839,Juillet,8,0,15751.1
839,Mai,8,0,4578.2
839,Octobre,8,0,43696
840,Avril,2,1,4703.6
840,Juillet,2,1,68256
842,Avril,5,1,4182.2
842,Juillet,5,1,60672
843,Juin,6,0,1344.2
843,Septembre,6,0,19392
844,Avril,8,1,3007.4
844,Juillet,8,1,43584
844,Juin,8,1,24464
844,Mars,8,1,1692.9
845,Avril,7,0,5120.5
845,Juillet,7,0,74320
845,Juin,7,0,2550.9
845,Septembre,7,0,36944
846,Août,6,1,29552
846,Mai,6,1,2042.7
847,Juin,9,0,3425.4
847,Septembre,9,0,49664
849,Août,5,0,81552
849,Mai,5,0,5628.7
850,Juin,4,1,51120
850,Mars,4,1,3525.5
851,Août,7,0,70720
851,Juin,7,0,2368.3
851,Mai,7,0,4873
851,Septembre,7,0,34288
852,Août,2,1,64256
852,Juin,2,1,43344
852,Mai,2,1,4428.6
852,Mars,2,1,2990.9
854,Juillet,9,1,669.9
854,Octobre,9,1,9584
856,Août,3,1,61312
856,Mai,3,1,4226.2
857,Juin,2,0,3521.1
857,Septembre,2,0,51056
858,Août,5,1,23008
858,Mai,5,1,1592.8
859,Juillet,2,0,1368.4
859,Octobre,2,0,19744
860,Juin,3,1,57632
860,Mars,3,1,3973.2
863,Avril,5,0,4055.7
863,Juillet,5,0,58832
865,Août,2,0,31648
865,Mai,2,0,2197.8
866,Avril,9,1,3234
866,Juillet,9,1,46880
868,Juin,4,1,3795
868,Septembre,4,1,55040
869,Août,5,0,66400
869,Mai,5,0,4587
870,Avril,6,1,2603.7
870,Juillet,6,1,38156.4
870,Octobre,6,1,6304
871,Août,5,0,1664
871,Avril,5,0,270.6
871,Juillet,5,0,3776
871,Juin,5,0,46560
871,Mai,5,0,125.4
871,Mars,5,0,3212
874,Août,2,1,68240
874,Mai,2,1,4702.5
875,Août,4,0,55520
875,Mai,4,0,3828
877,Juin,2,0,272.8
877,Septembre,2,0,3808
878,Avril,6,1,1185.8
878,Juillet,6,1,17088
880,Août,4,1,70688
880,Avril,4,1,2752.2
880,Juillet,4,1,39872
880,Juin,4,1,3021.7
880,Mai,4,1,4870.8
880,Septembre,4,1,43792
882,Avril,9,1,1914
882,Juillet,9,1,27520
882,Juin,9,1,4029.3
882,Septembre,9,1,58448
883,Avril,9,0,4633.2
883,Juillet,9,0,67232
884,Juin,6,1,69104
884,Mars,6,1,4761.9
885,Avril,3,0,525.8
885,Juillet,3,0,7488
886,Août,9,1,59968
886,Mai,9,1,4133.8
888,Juin,5,1,4341.7
888,Septembre,5,1,62992
889,Avril,6,0,3621.2
889,Juillet,6,0,52512
890,Août,5,1,26496
890,Mai,5,1,1832.6
892,Avril,3,1,4507.8
892,Juillet,3,1,65408
895,Août,5,0,13488
895,Mai,5,0,938.3
896,Août,4,1,24800
896,Avril,4,1,4830.1
896,Juillet,4,1,70096
896,Mai,4,1,1716
900,Août,9,1,36368
900,Juillet,9,1,1390.4
900,Juin,9,1,44
900,Mai,9,1,2511.3
900,Octobre,9,1,20064
900,Septembre,9,1,480
901,Juin,6,0,3336.3
901,Septembre,6,0,48368
902,Août,6,1,31040
902,Juin,6,1,4946.7
902,Mai,6,1,2145
902,Septembre,6,1,71792
904,Juin,8,1,38689.8
904,Mars,8,1,2649.9
904,Septembre,8,1,4288
906,Août,2,1,46304
906,Mai,2,1,3194.4
908,Juillet,3,1,326.7
908,Octobre,3,1,4592
910,Juin,4,1,4434.1
910,Septembre,4,1,64176
913,Juin,9,0,22112
913,Mars,9,0,1531.2
914,Juin,5,1,3247.2
914,Septembre,5,1,47072
915,Août,4,0,70528
915,Mai,4,0,4859.8
916,Avril,2,1,4459.4
916,Juillet,2,1,64704
917,Juin,2,0,7299.6
917,Septembre,2,0,105856
918,Juin,5,1,393.8
918,Septembre,5,1,5568
919,Août,8,0,35296
919,Mai,8,0,2437.6
922,Août,6,1,51936
922,Juin,6,1,71808
922,Mai,6,1,3581.6
922,Mars,6,1,4947.8
924,Avril,9,1,3213.1
924,Juillet,9,1,46576
925,Avril,4,0,1320
925,Juillet,4,0,19040
925,Juin,4,0,78177.8
925,Mars,4,0,5025.9
925,Septembre,4,0,75968
926,Août,4,1,124080
926,Avril,4,1,743.6
926,Juillet,4,1,10656
926,Mai,4,1,8552.5
927,Août,8,0,19088
927,Avril,8,0,4710.2
927,Juillet,8,0,68352
927,Juin,8,0,9115.7
927,Mai,8,0,1323.3
927,Septembre,8,0,132272
928,Août,5,1,26448
928,Avril,5,1,655.6
928,Juillet,5,1,9376
928,Juin,5,1,47842.7
928,Mai,5,1,1829.3
928,Mars,5,1,3177.9
928,Septembre,5,1,25712
930,Avril,3,1,3281.3
930,Juillet,3,1,47568
931,Août,6,0,54400
931,Juin,6,0,4470.4
931,Mai,6,0,3751
931,Septembre,6,0,64864
932,Août,3,1,6048
932,Mai,3,1,426.8
933,Août,2,0,25776
933,Mai,2,0,1783.1
934,Août,7,1,32560
934,Juin,7,1,1120
934,Mai,7,1,2249.5
934,Mars,7,1,88
935,Juin,7,0,4669.5
935,Septembre,7,0,67600
939,Juin,4,0,4925.8
939,Septembre,4,0,71488
942,Avril,9,1,628.1
942,Juillet,9,1,8976
944,Août,5,1,49088
944,Juin,5,1,4856.5
944,Mai,5,1,3385.8
944,Septembre,5,1,70480
945,Juillet,2,0,886.6
945,Juin,2,0,17217
945,Mars,2,0,1180.3
945,Octobre,2,0,12736
945,Septembre,2,0,2880
947,Août,7,0,67136
947,Mai,7,0,4626.6
948,Juin,5,1,75630.7
948,Mars,5,1,4867.5
948,Septembre,5,1,72432
952,Avril,3,1,1678.6
952,Juillet,3,1,24256
953,Avril,5,0,401.5
953,Juillet,5,0,9014.1
953,Octobre,5,0,48336
954,Avril,5,1,2385.9
954,Juillet,5,1,34544
954,Juin,5,1,1681.9
954,Septembre,5,1,24304
955,Août,6,0,13504
955,Avril,6,0,78.1
955,Juillet,6,0,4663.2
955,Mai,6,0,939.4
955,Octobre,6,0,53472
956,Juin,2,1,4533.1
956,Septembre,2,1,65616
957,Août,7,0,77184
957,Avril,7,0,8151
957,Juillet,7,0,118240
957,Mai,7,0,5317.4
960,Août,9,1,79008
960,Mai,9,1,5442.8
962,Août,8,1,58496
962,Mai,8,1,4032.6
963,Juin,5,0,3800.5
963,Septembre,5,0,55120
964,Avril,3,1,2979.9
964,Juillet,3,1,43184
964,Juin,3,1,8342.4
964,Septembre,3,1,121024
965,Juin,7,0,4756.4
965,Septembre,7,0,69024
966,Août,5,1,51280
966,Juin,5,1,5189.8
966,Mai,5,1,3536.5
966,Septembre,5,1,75328
967,Août,7,0,28288
967,Mai,7,0,1955.8
968,Avril,4,1,749.1
968,Juillet,4,1,10736
969,Juillet,3,0,2620.2
969,Juin,3,0,4176
969,Mars,3,0,298.1
969,Octobre,3,0,37952
970,Août,7,1,39536
970,Juin,7,1,1782
970,Mai,7,1,2729.1
970,Septembre,7,1,25760
972,Avril,7,1,1313.4
972,Juillet,7,1,18944
974,Juillet,9,1,4603.5
974,Octobre,9,1,66800
977,Avril,2,0,2345.2
977,Juillet,2,0,33952
978,Août,4,1,49056
978,Juillet,4,1,2629
978,Juin,4,1,51727.7
978,Mai,4,1,3383.6
978,Mars,4,1,3488.1
978,Octobre,4,1,38080
978,Septembre,4,1,16592
979,Juin,5,0,1359.6
979,Septembre,5,0,19616
983,Juin,2,0,64849.4
983,Mars,2,0,3870.9
983,Septembre,2,0,126304
984,Août,4,1,51008
984,Avril,4,1,2724.7
984,Juillet,4,1,39472
984,Mai,4,1,3517.8
988,Juin,7,1,2829.2
988,Septembre,7,1,40992
990,Juin,5,1,10576
990,Mars,5,1,738.1
992,Avril,6,1,6025.8
992,Juillet,6,1,87328
996,Avril,5,1,8515.1
996,Juillet,5,1,123536
997,Août,6,0,57152
997,Mai,6,0,3940.2
999,Avril,6,0,970.2
999,Juillet,6,0,13952
1000,Août,4,1,49504
1000,Mai,4,1,3414.4
1002,Août,9,1,61808
1002,Juin,9,1,57392
1002,Mai,9,1,4260.3
1002,Mars,9,1,3956.7
1003,Août,9,0,12992
1003,Mai,9,0,904.2
1004,Août,7,1,70272
1004,Avril,7,1,2871
1004,Juillet,7,1,41440
1004,Mai,7,1,4842.2
1005,Août,2,0,58976
1005,Mai,2,0,4076.6
1007,Août,3,0,9616
1007,Mai,3,0,672.1
1010,Août,5,1,1184
1010,Avril,5,1,2768.7
1010,Juillet,5,1,40112
1010,Juin,5,1,4896.1
1010,Mai,5,1,92.4
1010,Septembre,5,1,71056
1012,Juin,9,1,60784
1012,Mars,9,1,4189.9
1013,Août,4,0,35424
1013,Mai,4,0,2446.4
1014,Juin,9,1,7906.8
1014,Septembre,9,1,114688
1015,Juillet,4,0,4286.7
1015,Octobre,4,0,62192
