id,member_noSource,total
20150,5789,445165.60
20151,5136,187795.90
20152,5804,293929.50
20153,9201,1277979.70
20154,584,62956.10
20155,9198,1224657.00
20156,8465,911233.50
20157,350,6491.90
20158,6290,618825.90
20159,4711,390862.10
20160,6294,82643.10
20161,9189,679603.00
20163,7236,624942.80
20164,6304,230112.30
20165,1404,57420.60
20166,6307,87243.00
20167,9020,856217.90
20168,1801,50524.40
20169,8016,933682.10
20170,721,68308.40
20171,7249,370934.50
20172,8466,972091.20
20173,9205,853516.10
20174,1799,104137.80
20175,4679,484730.10
20176,1795,24258.80
20177,7289,459284.10
20178,6332,389574.70
20179,484,141900.70
20180,6342,443080.60
20181,7291,889595.90
20183,4536,359217.30
20185,4533,218757.90
20186,6176,180391.60
20187,8086,757751.20
20188,6351,208241.40
20189,5278,306782.60
20190,6173,242111.60
20191,4620,351390.40
20192,8565,714414.90
20193,4689,162641.80
20194,5991,449014.30
20195,7244,558070.80
20196,8594,1249173.50
20197,8018,930129.00
20198,5993,388469.30
20199,2605,265834.20
20200,1969,21813.50
20201,7246,811257.10
20202,1965,140520.50
20203,8935,903087.80
20204,8587,351628.60
20205,5318,308333.80
20206,1961,157199.10
20207,8121,815883.90
20208,8585,844190.50
20209,4698,438589.40
20210,6021,529451.50
20211,9000,829969.40
20212,6023,298489.10
20213,5306,219334.40
20214,1941,66854.90
20215,4974,175524.20
20216,6033,255852.70
20217,2625,109165.20
20218,6039,366631.40
20219,2626,225232.70
20220,6042,365372.10
20221,5299,397748.50
20222,6043,93467.40
20223,469,70993.10
20224,1951,73010.90
20225,334,77861.20
20226,6378,438525.90
20227,5302,326161.80
20228,732,79212.10
20229,9211,1076183.80
20231,7014,384331.10
20232,6219,273010.10
20233,1416,18923.60
20234,6223,405659.70
20235,9977,2077478.10
20236,6232,356161.30
20237,1162,4491.20
20238,6245,424376.90
20239,9989,2944552.10
20240,6265,413172.70
20241,4651,235710.10
20242,6260,697696.00
20243,8146,904245.70
20244,6218,239139.90
20246,8477,1099299.30
20247,9220,1000744.70
20248,1831,33178.90
20249,5056,208828.90
20250,6253,326875.10
20251,8122,662526.20
20252,6251,195519.00
20253,1331,14597.30
20255,5294,138216.90
20257,9001,839721.30
20258,8606,779217.80
20259,7017,508292.70
20260,8480,1400371.70
20261,8087,1002844.30
20262,6209,576310.40
20263,7108,706206.90
20264,3278,209632.60
20265,4661,447987.10
20266,8467,887465.70
20267,8127,529114.40
20268,6187,527952.80
20269,7258,570563.60
20270,6287,685978.80
20271,2395,289569.00
20272,1874,179440.10
20273,4639,326658.90
20274,9219,1109698.60
20275,2311,161457.00
20276,1309,91387.30
20277,7743,732236.80
20278,7003,382619.90
20279,7437,632962.70
20280,7255,736822.00
20281,7366,476873.90
20282,7285,164847.70
20284,1293,42515.50
20286,6755,412568.10
20287,8242,705681.70
20290,7290,707419.80
20291,7294,468331.20
20292,1252,118194.00
20293,1609,82568.60
20294,6694,297617.00
20295,7415,912921.50
20296,7425,721528.50
20297,970,69807.10
20298,6684,433698.80
20299,1244,85049.30
20300,7209,435361.20
20302,7997,1297589.70
20303,7926,1034801.80
20304,7227,501413.60
20305,851,112249.30
20306,7410,431034.90
20307,1605,105289.60
20308,6833,690700.90
20309,1339,78602.60
20310,8289,501726.30
20311,1520,13605.50
20312,7307,571020.40
20313,7989,546037.30
20314,6729,611194.40
20315,7355,533708.20
20316,7267,413468.30
20317,7971,834165.00
20319,1542,32005.10
20320,828,103288.90
20321,8267,610806.00
20322,8004,399104.30
20323,7348,364722.30
20324,6737,531240.90
20325,1320,23797.10
20326,1285,58452.70
20327,6725,582763.20
20328,1595,91814.80
20329,8012,609268.20
20330,7965,811148.40
20331,8249,1188274.30
20332,1560,2541.80
20333,7314,523277.20
20334,8244,1109534.90
20335,988,43821.20
20336,1307,56133.20
20337,7309,209671.70
20338,7280,686929.10
20339,1588,32449.70
20340,7359,597542.50
20341,7360,487926.60
20342,1594,2883.80
20343,7358,846220.50
20344,6985,585863.20
20345,7277,798175.60
20346,6688,381525.50
20347,7924,773323.20
20348,8282,815359.90
20349,8095,1136177.90
20350,8093,884187.40
20352,7028,958350.10
20353,6945,532038.50
20354,1482,76612.90
20355,1687,110197.30
20356,7031,722941.70
20358,6956,623374.50
20359,6553,473831.30
20360,8356,993938.90
20361,7806,215297.60
20362,6931,215787.40
20363,6583,608805.30
20364,935,72269.50
20365,934,36017.50
20366,786,48198.80
20367,6549,449612.80
20371,8106,538547.50
20372,6953,661158.20
20373,6938,621014.70
20374,8345,626370.70
20375,7818,565087.90
20376,3277,157278.50
20377,7660,716523.10
20378,7824,818176.50
20379,7656,652758.40
20380,1424,26122.70
20381,6951,260732.30
20382,7694,631383.40
20383,1433,8270.30
20384,1526,54577.10
20385,7382,564763.00
20386,7247,607169.80
20387,6724,108913.60
20388,6723,714814.30
20389,8226,497497.70
20390,6709,789659.80
20391,6721,790240.00
20392,1274,137157.90
20393,8015,1037227.50
20394,8274,1064368.90
20395,7959,1098910.90
20396,7398,860600.40
20398,8014,495449.40
20399,7742,656548.50
20400,1333,82501.40
20401,7238,406133.60
20402,7692,536159.60
20403,1129,3755.90
20404,7688,783509.90
20406,6560,299297.70
20407,7048,530589.90
20408,1004,119425.20
20409,7305,552295.90
20410,7243,411860.90
20411,7953,773631.00
20412,7951,1000317.20
20413,8219,455771.30
20414,8275,791432.10
20415,1332,9929.00
20416,7879,386633.50
20417,7094,796596.30
20418,4547,434969.10
20419,9254,867810.50
20420,5016,230266.20
20421,5226,383042.50
20422,2536,143217.40
20423,2540,75210.70
20424,8110,394692.50
20425,2542,123181.10
20426,9136,523208.80
20427,5231,142258.60
20428,7193,432385.80
20429,2547,180613.90
20430,9041,1264117.70
20431,8111,492708.50
20432,7195,440097.90
20433,8109,956080.70
20434,8962,705492.40
20435,922,132273.40
20436,9040,979130.30
20437,4805,191716.70
20438,9038,1070913.30
20440,9146,713993.50
20441,5152,48746.00
20442,2336,24293.00
20443,9127,1177745.60
20444,1350,8441.30
20445,5242,319396.30
20446,9008,870210.60
20447,4794,305323.00
20448,5025,188531.20
20449,5029,242034.70
20450,1348,37682.30
20451,2335,86804.50
20452,7199,168159.00
20453,2448,54166.70
20454,4742,227603.50
20455,4759,279450.70
20456,2446,121334.30
20457,5033,460317.40
20458,8115,718632.50
20459,2330,16957.10
20460,8116,674098.00
20461,5035,197040.90
20462,8028,557875.40
20463,5260,444887.10
20464,8027,459666.40
20465,7120,605408.50
20466,2534,154183.40
20467,7052,463268.40
20468,7041,889306.40
20469,5248,314403.10
20470,7213,849712.60
20471,4770,425991.60
20472,8024,309124.10
20473,9030,896442.00
20474,4732,308259.30
20475,8996,1225076.00
20476,4731,75591.80
20477,8946,921768.30
20478,9156,983809.60
20479,7078,803366.70
20481,7115,436250.40
20482,5147,462180.10
20483,9172,790580.80
20485,4777,289238.00
20486,4973,423832.10
20487,1352,61530.70
20488,5103,367458.30
20489,5525,272850.10
20490,3618,120684.50
20491,3090,6748.40
20492,3630,196243.30
20493,7834,640183.80
20494,3636,197320.60
20495,3638,118689.90
20496,9706,1548001.00
20497,3080,125598.30
20498,3648,118678.90
20500,3649,223768.20
20501,3611,148894.60
20502,7654,559393.60
20503,3617,257170.60
20504,3733,39078.40
20505,3734,52484.80
20507,2962,101453.10
20508,2958,31787.70
20509,3855,173181.50
20510,3853,165965.30
20511,3850,236085.10
20512,7869,725820.60
20513,3110,13844.90
20514,2988,16734.80
20515,7545,390667.90
20517,9595,1540210.70
20518,2979,56896.60
20519,3847,97172.00
20520,2977,170047.30
20521,9606,1768152.50
20522,3591,257655.50
20523,9724,1106152.80
20524,7650,348397.90
20525,7601,634124.30
20526,7602,375991.20
20527,3665,299675.10
20528,1061,43171.40
20529,9699,1302339.90
20530,9698,1494149.40
20531,3711,329336.30
20532,2708,173637.10
20533,7843,872674.20
20534,7606,753665.50
20535,3698,377764.70
20536,3055,127992.30
20537,9687,1359545.50
20538,7308,567610.20
20539,3692,238913.90
20540,5218,142782.60
20541,3731,287881.00
20542,3725,36359.50
20543,7649,887773.50
20544,7648,666426.20
20545,3602,132882.90
20547,3076,248182.10
20550,7600,585829.00
20551,7845,577279.00
20552,9669,974365.50
20553,7597,515616.40
20554,7595,505654.40
20555,9663,1201445.00
20556,3724,197709.00
20557,3713,301168.90
20558,1457,111633.70
20559,4931,112704.90
20560,7148,516052.40
20561,9238,934654.40
20562,326,115686.40
20563,2644,86712.90
20564,2645,287830.90
20565,2648,123278.80
20566,9224,791299.00
20567,1448,113679.60
20569,4615,459164.40
20570,4612,233184.20
20571,902,109923.70
20572,2397,172234.90
20573,9229,973454.30
20574,323,37819.10
20575,2423,67692.80
20576,2424,93986.50
20577,2674,47474.50
20578,2586,189227.40
20580,2668,67703.80
20581,1454,152798.30
20582,2669,57050.50
20583,901,51704.30
20584,9231,1134701.20
20586,2663,145000.70
20587,2672,98152.80
20588,8085,608877.40
20589,6997,365964.50
20590,7278,548158.90
20591,4575,315537.80
20592,7273,299230.50
20593,2583,302764.10
20594,4607,299521.20
20595,8910,1021670.20
20596,8890,855551.00
20597,6990,747292.10
20598,7008,740783.10
20599,2418,75279.10
20600,7998,739009.60
20601,4560,191761.90
20602,6992,257358.70
20604,9251,741625.90
20605,4556,206965.00
20606,5348,403248.60
20607,7284,413076.20
20608,2420,70638.90
20609,992,93353.80
20612,7302,714738.60
20614,7282,511792.10
20615,2403,27080.30
20616,322,79776.40
20618,5088,434610.00
20619,2303,276481.40
20620,4525,384262.70
20621,8892,1194776.00
20622,4518,238212.80
20623,2288,149822.90
20624,7992,1362591.70
20625,1305,64050.50
20626,5357,428590.80
20627,488,59666.80
20628,7163,276868.60
20629,4881,319898.30
20630,4882,234194.30
20631,1391,77987.00
20632,8060,784169.50
20633,7138,618917.50
20634,4963,243262.20
20635,4962,307763.40
20636,955,72656.70
20637,4951,258994.20
20638,9281,942013.50
20639,2487,121209.70
20641,5165,214859.10
20642,395,69043.70
20643,4937,392436.50
20645,4934,391347.00
20646,9077,847700.90
20647,5186,365622.50
20648,4993,382238.80
20649,2464,260133.80
20650,4923,145389.10
20651,4920,468223.70
20652,8990,1283686.20
20653,7065,188280.80
20654,7133,276868.60
20655,2381,47092.20
20656,8052,691592.50
20657,5182,314808.60
20658,5183,139614.20
20659,931,127485.40
20660,1397,11769.70
20661,4911,170964.60
20662,389,59279.60
20663,7068,656515.50
20664,2382,83264.80
20665,1373,145286.50
20666,5188,273157.90
20667,5006,355738.70
20668,7157,873193.30
20669,7158,491926.80
20670,4900,59604.50
20671,5156,262624.30
20672,4880,292760.60
20673,8089,677090.50
20674,2364,87698.60
20675,8047,890549.80
20676,2518,20103.50
20677,9099,752602.90
20678,7167,551841.50
20679,9101,1249844.10
20680,8371,633023.80
20681,8983,1093353.40
20682,8981,1339620.30
20683,9107,857290.30
20684,5187,564335.50
20685,9108,915286.20
20687,1365,76824.20
20688,1427,48968.30
20689,4863,278670.20
20690,9102,1271169.00
20692,8045,635867.30
20693,9043,1236805.30
20694,4859,312027.40
20695,7124,482033.20
20696,8966,1011091.40
20697,8965,641397.90
20698,8971,919628.40
20699,1349,85744.30
20701,6892,410001.90
20702,3666,405494.80
20704,3674,338691.20
20705,3675,229479.60
20706,3677,317202.60
20707,3681,317054.80
20708,80,6645.80
20709,9772,2101313.10
20710,3729,191141.40
20711,3517,136997.90
20712,3513,234342.10
20714,3230,55209.80
20715,3661,449059.50
20716,3650,198814.40
20718,3085,239961.90
20719,3052,127644.20
20720,3050,168228.60
20721,9673,1201264.20
20722,9683,1428975.20
20723,91,30962.00
20724,3717,97560.40
20725,9842,2076074.70
20726,9668,1693066.40
20727,9665,1221174.70
20728,3039,270269.20
20729,9671,1065103.00
20731,9691,1812171.60
20732,3634,222599.30
20733,9666,1314368.50
20734,3705,214950.70
20735,3338,101236.90
20736,9836,2259933.90
20737,9819,2037472.70
20738,9799,1984589.70
20739,9795,1690765.20
20740,9794,1627231.40
20741,3489,54291.30
20742,3469,127724.80
20743,3168,308800.40
20744,3166,238440.00
20745,3164,154365.40
20746,9778,2165467.40
20747,3158,149441.80
20748,9773,1605650.00
20749,3497,165474.30
20750,3200,206486.20
20751,9822,1696281.20
20752,9863,1834903.60
20753,3248,128283.00
20754,3217,300758.50
20755,3391,99144.60
20756,3399,189375.20
20757,3206,143867.20
20758,3334,261901.20
20759,3246,145543.00
20760,9840,1926849.10
20761,3265,176943.50
20762,3306,269846.60
20763,9855,1978873.40
20764,3308,108692.50
20765,3250,90896.30
20766,3249,107705.60
20767,3326,308156.70
20768,3259,61883.70
20769,9682,1765752.40
20770,3631,159672.50
20771,9711,1356683.70
20772,9088,505990.30
20773,4954,223398.10
20774,9067,1151633.90
20775,9065,994953.90
20776,2474,109250.70
20777,2473,268667.90
20778,2479,139751.00
20779,9091,816362.70
20781,4901,443833.00
20782,2525,174538.50
20783,9114,1434289.60
20784,4869,364318.00
20785,4945,399037.10
20786,4936,24486.00
20787,9079,1045958.30
20788,2497,53664.70
20789,2569,127958.10
20790,9158,1281763.70
20792,4781,360367.90
20793,9150,1314147.40
20794,4790,496232.30
20795,2523,224218.90
20796,4791,387498.30
20797,4799,389351.20
20798,9154,617070.70
20799,9119,971191.00
20801,9115,835166.60
20802,4910,179758.90
20805,9109,1104964.30
20806,9105,1021082.70
20808,3625,76903.60
20809,9766,1989981.10
20810,9765,1400032.20
20811,9760,1124872.40
20812,3574,157295.60
20813,3099,166472.20
20814,3542,134205.70
20815,3130,134193.50
20817,9746,1120169.90
20818,3124,130813.80
20819,3550,303510.40
20820,3089,232170.40
20821,3135,136980.80
20822,3466,162704.10
20823,3620,111428.50
20824,3613,188411.50
20825,2520,114750.80
20826,4889,490553.90
20827,4890,254947.60
20828,4894,77359.20
20829,405,64118.90
20830,2334,118336.90
20832,9392,979097.30
20834,3585,68820.20
20835,3112,195685.10
20836,3598,262893.00
20837,3580,154679.30
20838,3107,165407.10
20839,2796,605364.50
20840,9166,1076088.50
20841,3465,262317.70
20842,3416,248740.30
20843,3778,51140.00
20844,3015,51715.30
20845,3763,311816.10
20846,9601,1386883.50
20847,9600,1088506.80
20849,3909,49207.70
20850,3911,170708.10
20851,3895,212437.00
20852,3912,221669.80
20853,3924,500462.10
20854,3933,135065.60
20855,3943,316210.80
20858,9651,1470368.20
20859,3751,325483.90
20860,3801,184884.00
20861,9617,1390375.60
20862,3805,352211.20
20863,3794,236901.00
20864,3004,222776.40
20865,2995,73979.50
20866,3945,148796.90
20867,2994,80563.00
20868,3000,221893.30
20869,9610,720176.40
20870,3792,124538.10
20871,9626,1781121.60
20872,3746,418558.00
20873,3747,174669.20
20874,2989,182832.00
20875,3800,136707.20
20876,3915,337306.10
20877,9583,1390547.80
20878,5748,420809.10
20879,5751,585965.80
20880,5756,446813.30
20881,5758,347143.50
20882,5760,123454.70
20883,5763,367116.30
20884,8474,895231.60
20885,2093,99897.00
20887,2111,68975.30
20888,2122,149059.50
20889,1824,137876.10
20890,8736,1210291.80
20891,8475,703458.70
20892,6269,692192.20
20893,7772,552228.70
20894,2488,131047.10
20895,2959,123826.00
20896,129,45856.10
20897,3849,270673.50
20898,3857,359399.30
20899,3862,220274.90
20900,3863,292179.20
20901,3892,230614.30
20902,9589,1132828.80
20903,2970,206627.90
20904,3870,513560.70
20906,3875,464107.50
20907,2932,170702.00
20908,5250,404680.10
20910,9623,1807233.30
20911,9550,1629489.80
20912,9655,1195369.60
20913,4046,144128.60
20914,4016,212374.70
20915,9490,1032705.80
20916,2883,133868.60
20917,191,5158.10
20918,4081,364198.30
20919,2871,79359.90
20920,2868,50580.60
20921,4054,94675.40
20922,2866,205077.90
20923,2906,162169.10
20924,9508,1482060.90
20925,9540,1654821.00
20926,4039,258008.50
20927,4036,112824.60
20928,4030,184501.70
20929,4025,347320.60
20930,3427,118239.20
20931,3429,267503.90
20932,3430,161126.00
20933,9814,1894370.10
20935,9807,2255082.40
20936,3962,205466.30
20937,9804,1805828.70
20938,3452,184467.50
20939,3462,327347.80
20940,3516,60590.20
20941,9393,1507339.60
20942,3732,175678.10
20943,9654,1704341.40
20944,3179,249093.30
20945,3963,221385.20
20946,3967,300421.40
20947,3973,216210.00
20949,211,81475.40
20950,9437,968705.40
20951,2856,186782.10
20952,9456,914897.80
20953,4127,209194.10
20954,9401,1177297.30
20955,2852,59552.00
20956,4141,157426.30
20957,4142,214415.70
20958,2844,211656.50
20959,4146,298313.20
20960,2830,252132.20
20961,3959,33691.90
20963,9801,2336500.40
20964,4224,269077.10
20965,4211,337105.80
20966,9531,1126253.80
20967,2923,117601.60
20969,4008,149692.20
20970,2924,58241.40
20971,2864,76930.50
20972,9403,1138712.40
20973,9466,1172006.10
20974,4194,262522.90
20975,2812,99555.00
20976,4204,225740.80
20977,4208,419983.40
20978,4181,312677.20
20979,4209,462750.50
20980,4116,162089.70
20982,4758,286194.20
20984,1513,16871.60
20986,7165,483211.90
20987,1221,31845.10
20988,7493,828972.70
20989,8204,520502.10
20990,7901,1057701.10
20991,7362,624184.30
20992,6578,389602.80
20993,6514,300272.40
20994,4563,270434.10
20995,4564,352610.60
20996,9246,1443716.60
20997,1229,81030.80
20998,1514,54987.50
20999,7174,738065.40
21000,1363,27809.50
21001,1361,7124.60
21002,7468,463069.30
21003,6869,376257.50
21004,6651,791901.10
21005,7154,720268.00
21006,7504,494231.60
21007,4576,406936.10
21008,8053,403183.90
21009,1633,60938.30
21010,1212,10835.30
21011,6872,387630.20
21012,8203,888451.40
21013,1219,27627.50
21014,8300,797616.20
21015,7511,564153.50
21016,1353,55021.70
21017,4558,250039.90
21018,4585,296118.30
21019,4619,265912.40
21020,2652,77741.50
21021,344,55380.80
21023,4696,274766.50
21024,2601,210720.90
21026,4690,234912.50
21027,2588,253624.80
21028,4719,305876.30
21029,4723,314255.30
21030,9184,1198321.80
21031,4728,313941.40
21032,2653,114574.90
21033,317,33065.30
21034,2683,95491.30
21035,9258,909083.80
21036,4587,234096.60
21037,4600,131611.40
21038,4602,243028.90
21040,4554,169134.90
21041,4550,111234.30
21042,4577,146802.30
21043,2703,112841.70
21044,4516,61861.70
21045,4520,157415.30
21046,312,38503.10
21047,4551,266137.10
21048,4531,392264.30
21049,9260,919065.30
21050,4513,262904.00
21051,6671,317852.40
21052,967,30243.80
21053,6846,830743.80
21054,7118,832665.10
21055,7116,544344.40
21056,7572,705299.40
21057,7851,1133196.40
21058,7849,811193.60
21059,7101,385231.30
21062,6914,965749.50
21063,1052,9535.70
21064,6610,331691.20
21065,8176,863314.40
21066,808,55055.90
21067,6887,719658.50
21068,7130,628829.40
21069,7874,451189.70
21070,1394,47959.40
21071,8191,930318.30
21072,7552,464516.70
21073,6635,140679.30
21074,6630,485482.50
21075,6627,271037.50
21076,7862,899002.10
21077,8182,1113657.20
21078,6899,206343.30
21081,957,208892.40
21082,6642,873518.20
21083,8306,658816.70
21084,8061,809130.60
21085,1638,280078.50
21086,1406,29115.20
21087,8318,665269.50
21088,7114,332352.00
21089,1621,29405.90
21090,965,73780.40
21091,7183,450751.20
21092,7904,442052.20
21093,7903,764552.10
21094,7181,141271.70
21095,8040,721168.20
21096,7184,527774.50
21097,7191,341289.20
21098,7202,469726.10
21099,7441,586039.10
21100,8036,794832.60
21101,7914,673334.60
21102,7913,830173.40
21103,7455,805956.10
21104,9187,1242315.20
21105,1356,186611.10
21107,7574,1002149.30
21108,7576,644287.80
21109,7577,395261.70
21110,947,71762.60
21111,7581,379148.60
21112,6622,463406.40
21113,7189,693234.10
21114,7107,1015252.80
21115,1183,184433.30
21116,7105,511861.70
21117,6902,489094.30
21118,7204,827524.10
21119,1035,45257.60
21120,8303,770787.50
21121,7584,459472.20
21122,2604,133105.20
21123,4687,266729.50
21124,4683,250119.30
21125,5046,226071.80
21126,9026,724325.60
21127,2439,152929.00
21128,5121,228219.10
21129,5122,304360.50
21130,5193,245251.90
21131,5194,166957.10
21132,8980,1044059.00
21133,8973,1152192.10
21134,5205,163274.50
21135,2366,3584.90
21136,8967,1046026.70
21137,5225,328230.90
21138,5045,355511.50
21139,2438,157517.90
21140,5043,361445.20
21141,9022,1020100.70
21142,5074,356623.00
21143,2425,104343.00
21144,2430,117275.50
21146,5090,118963.50
21147,5092,220901.50
21148,8957,817388.70
21149,5096,234849.00
21150,5101,391365.30
21151,5082,198323.40
21152,5105,403698.10
21153,9024,820558.30
21154,5002,460762.00
21155,5003,348876.70
21156,5099,169584.40
21157,5246,344129.00
21158,5247,237658.30
21160,4814,312105.60
21161,4817,285469.90
21162,2546,174429.80
21163,9138,726195.60
21164,4809,193768.70
21165,9134,907488.60
21166,9055,1101235.30
21167,9129,1195758.00
21168,9124,1016510.90
21169,9123,901890.80
21170,9122,897597.50
21171,4835,275433.40
21172,4856,85881.10
21173,4806,209057.30
21175,5069,294122.50
21176,4986,354404.90
21177,2469,50005.30
21178,2369,115611.90
21179,5184,238087.00
21180,5123,591011.50
21181,9003,1714222.70
21182,5129,283834.40
21184,2578,88668.40
21185,5146,131822.70
21186,2383,112540.00
21187,433,5739.50
21188,5169,599362.40
21189,8984,1126787.60
21190,5171,151526.80
21191,2373,293724.30
21192,2384,120872.60
21193,7526,341408.90
21194,2428,67521.80
21195,4751,224618.30
21196,4357,404747.30
21197,4362,212032.70
21198,4365,83299.00
21199,9344,1073870.40
21200,2744,214454.80
21201,9338,883852.80
21202,4361,210647.60
21203,9364,1007008.20
21204,9367,1299076.20
21205,2790,109712.40
21206,4260,326351.10
21207,4270,205032.70
21208,4301,27593.30
21210,4345,399828.60
21211,4341,288855.70
21212,4340,88850.40
21213,9225,636288.70
21214,9222,1232829.60
21215,9217,933389.00
21216,2634,220890.50
21217,2629,58976.70
21218,9210,1011705.80
21219,4279,67778.30
21220,2623,140520.50
21221,4676,172320.40
21222,9283,1563273.70
21223,4730,261741.20
21224,4500,390920.70
21225,4319,343735.70
21226,4320,290217.60
21227,9206,869730.60
21228,9377,1165971.00
21229,9371,1281998.20
21230,4298,268901.20
21231,4396,194441.70
21232,2734,46174.90
21233,4406,271306.20
21234,4412,326099.50
21236,4427,192481.30
21237,9328,1144668.10
21238,9314,1056619.00
21239,4443,223785.30
21240,4444,202906.20
21241,4445,285094.90
21242,2705,250050.90
21244,2579,53448.50
21245,4437,255129.60
21246,5063,561930.50
21247,4446,276235.90
21248,9298,1040012.40
21249,9368,1326562.00
21250,9330,1696073.50
21252,9306,1105492.00
21253,2720,80740.10
21254,4469,296460.30
21255,4448,492658.40
21256,2712,119687.80
21257,9299,639339.80
21258,4478,263628.30
21259,4486,332984.70
21260,9288,949730.50
21262,4497,178100.20
21263,4452,159501.50
21264,5727,184564.00
21265,2965,92629.50
21266,3859,100091.20
21267,4275,351408.70
21268,7477,544567.90
21270,8522,1010590.60
21271,1266,131839.80
21272,1630,19334.00
21273,2780,36787.00
21274,5988,163451.60
21275,9374,1701395.30
21276,2921,126921.10
21277,1268,148426.80
21278,4269,135322.10
21279,3949,168502.20
21280,4304,173495.40
21281,6717,759621.20
21282,7500,957398.60
21284,9519,1258184.00
21285,1903,157951.50
21287,9376,936917.70
21288,5982,340668.70
21289,8531,488433.50
21290,7958,388085.80
21291,9532,1181753.10
21292,8605,1291124.70
21293,9515,1084478.50
21294,7502,791950.00
21295,6659,592533.40
21296,7392,323683.50
21298,7956,845956.70
21299,6660,627143.80
21300,5989,686563.90
21301,9528,1056496.80
21303,6143,613686.10
21304,9386,1007157.20
21305,5978,445554.00
21306,2910,314107.50
21307,5975,509707.10
21308,7496,785002.50
21309,259,46146.80
21310,9543,1120372.70
21311,3940,179457.20
21312,4258,578910.80
21313,6123,446197.70
21314,4000,246870.30
21315,6156,507347.30
21316,3934,232358.50
21317,7470,541979.70
21318,8523,714857.10
21319,3971,255202.90
21322,7473,573403.40
21323,8601,737686.80
21324,8301,868797.40
21325,3978,361889.80
21326,9511,1185615.30
21327,6154,189499.80
21328,9387,1133845.00
21329,8517,532169.20
21330,7949,1073285.30
21331,6117,304593.80
21332,4289,249264.30
21333,680,65606.60
21334,8519,931753.50
21336,4267,309285.30
21337,7420,574401.30
21338,2827,171682.80
21339,1938,214603.80
21341,658,64574.50
21342,9446,1296037.30
21343,9447,967775.90
21344,2825,240942.70
21345,9448,1420745.20
21346,9440,1060720.50
21347,9438,1228913.70
21348,2840,142134.00
21349,7435,433590.10
21350,662,73831.70
21351,659,77850.20
21352,2822,98711.00
21353,6693,493986.10
21354,4092,193353.40
21355,8569,957812.70
21356,7922,833498.10
21357,4140,162590.50
21358,6034,525797.00
21359,9450,1094655.50
21360,4126,179816.30
21361,4136,225232.70
21362,654,53328.80
21363,9432,1239134.60
21364,4175,73727.90
21365,4179,234985.80
21366,4180,153106.10
21367,2841,270690.60
21368,9451,871349.00
21369,4184,168365.40
