member_noSource,category_desc,Total
1753,Clothing,108299.20
1754,Clothing,76978.10
1755,Clothing,9176.60
1757,Clothing,74030.80
1758,Clothing,2661.50
1761,Clothing,69556.70
1766,Clothing,12442.70
1771,Clothing,21591.20
1784,Clothing,100142.50
1789,Clothing,80483.60
1797,Clothing,15589.10
1823,Clothing,82518.50
1824,Clothing,26174.00
1825,Clothing,69437.00
1829,Clothing,26943.50
1833,Clothing,16957.10
1835,Clothing,45274.70
1839,Clothing,66900.10
1842,Clothing,7175.90
1843,Clothing,48763.10
1847,Clothing,56458.10
1848,Clothing,38058.50
1849,Clothing,85487.80
1851,Clothing,39785.60
1853,Clothing,66341.90
1855,Clothing,64677.10
1860,Clothing,31115.90
1866,Clothing,54081.20
1868,Clothing,52593.50
1869,Clothing,63480.10
1872,Clothing,35419.00
1881,Clothing,14392.10
1883,Clothing,54047.00
1886,Clothing,58287.80
1887,Clothing,56936.90
1888,Clothing,38930.60
1893,Clothing,4901.60
1901,Clothing,59638.70
1904,Clothing,2832.50
1917,Clothing,76601.90
1922,Clothing,25968.80
1934,Clothing,65418.50
1935,Clothing,64341.20
1941,Clothing,66854.90
1943,Clothing,60545.00
1948,Clothing,19180.10
1952,Clothing,41615.30
1956,Clothing,11057.60
1968,Clothing,38486.00
1970,Clothing,61263.20
1980,Clothing,79149.80
1983,Clothing,66034.10
1984,Clothing,143912.40
1987,Clothing,69505.40
1995,Clothing,49190.60
2012,Clothing,36194.60
2013,Clothing,35510.60
2015,Clothing,14392.10
2035,Clothing,40298.60
2036,Clothing,52542.20
2044,Clothing,66393.20
2046,Clothing,54406.10
2059,Clothing,79064.30
2060,Clothing,32689.10
2068,Clothing,26020.10
2078,Clothing,20890.10
2081,Clothing,62819.30
2097,Clothing,41256.20
2107,Clothing,5534.30
2110,Clothing,137129.80
2111,Clothing,68975.30
2112,Clothing,103299.90
2116,Clothing,54987.50
2118,Clothing,41307.50
2125,Clothing,72087.50
2141,Clothing,85151.90
2144,Clothing,52285.70
2146,Clothing,17453.00
2147,Clothing,69368.60
2153,Clothing,61947.20
2155,Clothing,107119.30
2162,Clothing,40811.60
2171,Clothing,2165.60
2172,Clothing,73996.60
2179,Clothing,63811.10
2180,Clothing,43496.30
2186,Clothing,5243.60
2200,Clothing,63223.60
2201,Clothing,21813.50
2202,Clothing,9775.10
2206,Clothing,22736.90
2208,Clothing,52969.70
2215,Clothing,39426.50
2219,Clothing,63075.80
2232,Clothing,50860.30
2235,Clothing,18051.50
2246,Clothing,8834.60
2247,Clothing,1806.50
2256,Clothing,77006.20
2259,Clothing,9911.90
2261,Clothing,36143.30
2263,Clothing,1789.40
2266,Clothing,22035.80
2274,Clothing,58082.60
2275,Clothing,56116.10
2281,Clothing,17966.00
2286,Clothing,67744.10
2288,Clothing,23677.40
2291,Clothing,54371.90
2302,Clothing,74071.10
2303,Clothing,32620.70
2304,Clothing,38964.80
2305,Clothing,62385.70
2308,Clothing,76943.90
2321,Clothing,60117.50
2322,Clothing,58219.40
2325,Clothing,43096.90
2339,Clothing,85237.40
2343,Clothing,81441.20
2351,Clothing,58863.10
2353,Clothing,74755.10
2356,Clothing,6423.50
2357,Clothing,81902.90
2359,Clothing,29092.00
2364,Clothing,72013.00
2372,Clothing,75165.50
2375,Clothing,72019.10
2376,Clothing,43530.50
2378,Clothing,68924.00
2380,Clothing,31799.90
2383,Clothing,64084.70
2388,Clothing,2165.60
2389,Clothing,39255.50
2390,Clothing,54696.80
2394,Clothing,40572.20
2395,Clothing,65572.40
2398,Clothing,21437.30
2405,Clothing,1909.10
2409,Clothing,50227.60
2410,Clothing,57330.20
2414,Clothing,83954.90
2415,Clothing,11536.40
2420,Clothing,6765.50
2424,Clothing,80962.40
2427,Clothing,23489.30
2433,Clothing,1738.10
2452,Clothing,12254.60
2460,Clothing,79879.00
2461,Clothing,6902.30
2463,Clothing,73814.60
2465,Clothing,76259.90
2470,Clothing,76259.90
2471,Clothing,80859.80
2473,Clothing,82467.20
2478,Clothing,59484.80
2479,Clothing,27678.80
2480,Clothing,43325.30
2483,Clothing,71882.30
2484,Clothing,52935.50
2490,Clothing,74891.90
2494,Clothing,79560.20
2496,Clothing,81663.50
2502,Clothing,56680.40
2504,Clothing,93815.50
2508,Clothing,36639.20
2509,Clothing,45069.50
2510,Clothing,80552.00
2516,Clothing,84399.50
2519,Clothing,46779.50
2521,Clothing,85134.80
2522,Clothing,9877.70
2529,Clothing,65846.00
2544,Clothing,56150.30
2547,Clothing,96380.50
2549,Clothing,109325.20
2551,Clothing,4217.60
2559,Clothing,75473.30
2561,Clothing,63708.50
2566,Clothing,14511.80
2575,Clothing,233.30
2580,Clothing,27713.00
2581,Clothing,73780.40
2582,Clothing,36177.50
2583,Clothing,93114.40
2585,Clothing,35510.60
2591,Clothing,43906.70
2592,Clothing,79303.70
2601,Clothing,8680.70
2603,Clothing,83356.40
2606,Clothing,8663.60
2609,Clothing,70941.80
2611,Clothing,124527.10
2612,Clothing,13639.70
2620,Clothing,5158.10
2622,Clothing,318.80
2623,Clothing,36502.40
2625,Clothing,3379.70
2638,Clothing,746.30
2643,Clothing,74019.80
2647,Clothing,49703.60
2649,Clothing,2165.60
2653,Clothing,114574.90
2654,Clothing,21009.80
2657,Clothing,35527.70
2662,Clothing,76088.90
2668,Clothing,6064.40
2673,Clothing,25695.20
2675,Clothing,57945.80
2682,Clothing,17076.80
2684,Clothing,58151.00
2687,Clothing,74686.70
2689,Clothing,24344.30
2694,Clothing,64460.90
2697,Clothing,41529.80
2698,Clothing,4422.80
2702,Clothing,39768.50
2704,Clothing,80500.70
2716,Clothing,75022.60
2717,Clothing,96.50
2718,Clothing,84399.50
2721,Clothing,82826.30
2725,Clothing,18872.30
2727,Clothing,68753.00
2729,Clothing,77816.00
2730,Clothing,49344.50
2732,Clothing,52593.50
2734,Clothing,29098.10
2735,Clothing,28014.70
2739,Clothing,78807.80
2740,Clothing,69967.10
2741,Clothing,111012.00
2752,Clothing,48934.10
2753,Clothing,22736.90
2754,Clothing,48962.20
2758,Clothing,7022.00
2759,Clothing,53664.70
2761,Clothing,78927.50
2762,Clothing,54964.30
2767,Clothing,26772.50
2771,Clothing,18889.40
2772,Clothing,5722.40
2774,Clothing,40862.90
2775,Clothing,58766.60
2780,Clothing,814.70
2785,Clothing,67795.40
2787,Clothing,2815.40
2792,Clothing,8561.00
2794,Clothing,52217.30
2796,Clothing,64540.30
2799,Clothing,24498.20
2803,Clothing,120286.30
2804,Clothing,62408.90
2809,Clothing,75353.60
2814,Clothing,44522.30
2818,Clothing,52508.00
2820,Clothing,63845.30
2821,Clothing,27815.60
2823,Clothing,55825.40
2824,Clothing,70018.40
2830,Clothing,41478.50
2837,Clothing,85100.60
2841,Clothing,122047.60
2842,Clothing,4901.60
2843,Clothing,20513.90
2844,Clothing,37477.10
2845,Clothing,82467.20
2850,Clothing,54389.00
2857,Clothing,53482.70
2862,Clothing,72224.30
2863,Clothing,54850.70
2864,Clothing,6725.20
2865,Clothing,60254.30
2870,Clothing,52969.70
2877,Clothing,40298.60
2878,Clothing,81817.40
2880,Clothing,56971.10
2883,Clothing,29474.30
2889,Clothing,8851.70
2891,Clothing,37477.10
2892,Clothing,71899.40
2895,Clothing,32791.70
2897,Clothing,52576.40
2898,Clothing,24036.50
2901,Clothing,44436.80
2904,Clothing,78340.00
2905,Clothing,77388.50
2906,Clothing,9108.20
2908,Clothing,188834.10
2910,Clothing,164387.20
2911,Clothing,45702.20
2914,Clothing,170827.80
2919,Clothing,15589.10
2922,Clothing,19248.50
2923,Clothing,61485.50
2927,Clothing,11844.20
2932,Clothing,39084.50
2935,Clothing,8612.30
2940,Clothing,951.50
2942,Clothing,48215.90
2945,Clothing,47908.10
2948,Clothing,77764.70
2949,Clothing,10373.60
2951,Clothing,85357.10
2953,Clothing,33732.20
2955,Clothing,77149.10
2956,Clothing,62562.80
2970,Clothing,78374.20
2973,Clothing,56030.60
2975,Clothing,66222.20
2985,Clothing,32227.40
2986,Clothing,75558.80
2987,Clothing,78243.50
2988,Clothing,16734.80
2994,Clothing,56714.60
2998,Clothing,105426.40
3000,Clothing,59792.60
3006,Clothing,67727.00
3010,Clothing,12665.00
3017,Clothing,44111.90
3022,Clothing,141524.50
3024,Clothing,79047.20
3028,Clothing,6252.50
3032,Clothing,68958.20
3034,Clothing,80210.00
3038,Clothing,44601.70
3039,Clothing,85083.50
3040,Clothing,47583.20
3041,Clothing,59433.50
3044,Clothing,49036.70
3046,Clothing,124920.40
3050,Clothing,15247.10
3056,Clothing,32210.30
3062,Clothing,59707.10
3064,Clothing,6970.70
3065,Clothing,23626.10
3067,Clothing,20325.80
3069,Clothing,50456.00
3070,Clothing,94978.30
3071,Clothing,45839.00
3074,Clothing,65794.70
3078,Clothing,83099.90
3080,Clothing,9911.90
3085,Clothing,71123.80
3088,Clothing,83612.90
3089,Clothing,63144.20
3091,Clothing,66153.80
3092,Clothing,104195.20
3096,Clothing,59330.90
3099,Clothing,37442.90
3101,Clothing,8965.30
3102,Clothing,32039.30
3109,Clothing,29211.70
3111,Clothing,73575.20
3114,Clothing,58880.20
3116,Clothing,127889.70
3120,Clothing,70805.00
3123,Clothing,11775.80
3132,Clothing,43906.70
3133,Clothing,76995.20
3134,Clothing,67293.40
3135,Clothing,46266.50
3140,Clothing,13400.30
3143,Clothing,70542.40
3144,Clothing,52918.40
3145,Clothing,56936.90
3149,Clothing,16546.70
3151,Clothing,76738.70
3153,Clothing,60094.30
3154,Clothing,17589.80
3160,Clothing,31030.40
3161,Clothing,15520.70
3168,Clothing,80118.40
3169,Clothing,45394.40
3170,Clothing,55671.50
3174,Clothing,1738.10
3177,Clothing,33349.90
3179,Clothing,85898.20
3182,Clothing,32312.90
3184,Clothing,64283.80
3186,Clothing,76550.60
3190,Clothing,26276.60
3196,Clothing,68650.40
3198,Clothing,80905.00
3200,Clothing,77303.00
3201,Clothing,8338.70
3203,Clothing,55722.80
3205,Clothing,54998.50
3215,Clothing,107307.40
3217,Clothing,117345.10
3220,Clothing,52097.60
3222,Clothing,84365.30
3235,Clothing,65555.30
3241,Clothing,53619.50
3242,Clothing,66883.00
3247,Clothing,59991.70
3249,Clothing,51174.20
3254,Clothing,74840.60
3255,Clothing,30209.60
3258,Clothing,77587.60
3259,Clothing,17863.40
3260,Clothing,51995.00
3266,Clothing,50028.50
3270,Clothing,84000.10
3271,Clothing,35425.10
3282,Clothing,34535.90
3285,Clothing,12750.50
3287,Clothing,11741.60
3288,Clothing,84296.90
3289,Clothing,84262.70
3290,Clothing,54577.10
3292,Clothing,41478.50
3295,Clothing,18479.00
3297,Clothing,29474.30
3300,Clothing,36468.20
3303,Clothing,57159.20
3306,Clothing,60874.80
3307,Clothing,36023.60
3310,Clothing,29833.40
3312,Clothing,23420.90
3313,Clothing,37511.30
3315,Clothing,26498.90
3321,Clothing,22890.80
3322,Clothing,3773.00
3326,Clothing,123159.10
3331,Clothing,54218.00
3334,Clothing,95559.70
3337,Clothing,63007.40
3339,Clothing,20702.00
3340,Clothing,79868.00
3341,Clothing,27131.60
3342,Clothing,27217.10
3343,Clothing,28550.90
3344,Clothing,109701.40
3349,Clothing,6577.40
3351,Clothing,33185.00
3352,Clothing,126425.20
3353,Clothing,82615.00
3354,Clothing,30431.90
3358,Clothing,42059.90
3359,Clothing,82142.30
3362,Clothing,1481.60
3363,Clothing,28944.20
3364,Clothing,79337.90
3369,Clothing,39512.00
3372,Clothing,65333.00
3373,Clothing,84502.10
3374,Clothing,9638.30
3375,Clothing,31457.90
3376,Clothing,28305.40
3377,Clothing,4166.30
3379,Clothing,36434.00
3380,Clothing,59399.30
3381,Clothing,28732.90
3382,Clothing,20650.70
3383,Clothing,56971.10
3386,Clothing,16803.20
3387,Clothing,99338.80
3388,Clothing,60288.50
3396,Clothing,16495.40
3398,Clothing,49583.90
3404,Clothing,61639.40
3405,Clothing,41170.70
3406,Clothing,1772.30
3409,Clothing,41375.90
3410,Clothing,14186.90
3411,Clothing,66393.20
3415,Clothing,33869.00
3416,Clothing,20890.10
3417,Clothing,11057.60
3420,Clothing,106247.20
3427,Clothing,59946.50
3432,Clothing,69095.00
3434,Clothing,32740.40
3438,Clothing,49173.50
3450,Clothing,103323.10
3451,Clothing,82039.70
3452,Clothing,23814.20
3455,Clothing,70189.40
3459,Clothing,13907.20
3478,Clothing,67926.10
3481,Clothing,78876.20
3484,Clothing,15777.20
3492,Clothing,83185.40
3494,Clothing,126049.00
3496,Clothing,55124.30
3498,Clothing,41393.00
3499,Clothing,41102.30
3503,Clothing,69539.60
3506,Clothing,35624.20
3509,Clothing,12818.90
3512,Clothing,91985.80
3514,Clothing,558.20
3516,Clothing,51926.60
3517,Clothing,6440.60
3519,Clothing,56235.80
3527,Clothing,60613.40
3528,Clothing,18718.40
3530,Clothing,77251.70
3532,Clothing,5978.90
3535,Clothing,130306.90
3538,Clothing,105802.60
3539,Clothing,4183.40
3543,Clothing,49988.20
3544,Clothing,53465.60
3545,Clothing,15349.70
3547,Clothing,74806.40
3548,Clothing,63982.10
3550,Clothing,74652.50
3551,Clothing,47172.80
3553,Clothing,35544.80
3570,Clothing,24070.70
3573,Clothing,71420.60
3576,Clothing,58418.50
3578,Clothing,48198.80
3579,Clothing,52234.40
3580,Clothing,92481.70
3581,Clothing,60904.10
3583,Clothing,35921.00
3590,Clothing,73865.90
3591,Clothing,76054.70
3592,Clothing,36570.80
3595,Clothing,27730.10
3597,Clothing,81407.00
3598,Clothing,70736.60
3601,Clothing,52091.50
3605,Clothing,93114.40
3607,Clothing,75404.90
3612,Clothing,36878.60
3613,Clothing,21574.10
3614,Clothing,97321.00
3616,Clothing,22993.40
3617,Clothing,21095.30
3623,Clothing,55329.50
3627,Clothing,106059.10
3630,Clothing,21984.50
3633,Clothing,96688.30
3635,Clothing,113668.60
3636,Clothing,45787.70
3637,Clothing,74498.60
3647,Clothing,58578.50
3649,Clothing,29662.40
3650,Clothing,103545.40
3653,Clothing,83852.30
3660,Clothing,52319.90
3663,Clothing,79058.20
3664,Clothing,35818.40
3666,Clothing,115971.00
3668,Clothing,42641.30
3669,Clothing,50763.80
3672,Clothing,4508.30
3674,Clothing,33304.70
3677,Clothing,50114.00
3679,Clothing,31799.90
3680,Clothing,78534.20
3684,Clothing,24293.00
3687,Clothing,48523.70
3690,Clothing,16717.70
3692,Clothing,49720.70
3694,Clothing,51875.30
3695,Clothing,21813.50
3696,Clothing,27165.80
3699,Clothing,12972.80
3705,Clothing,74036.90
3708,Clothing,24190.40
3712,Clothing,73712.00
3714,Clothing,44026.40
3723,Clothing,3550.70
3727,Clothing,92721.10
3735,Clothing,6303.80
3736,Clothing,2422.10
3737,Clothing,46249.40
3741,Clothing,79765.40
3742,Clothing,77593.70
3745,Clothing,14614.40
3746,Clothing,62802.20
3747,Clothing,55962.20
3748,Clothing,35151.50
3749,Clothing,45206.30
3751,Clothing,71967.80
3752,Clothing,21557.00
3754,Clothing,47189.90
3755,Clothing,121511.40
3756,Clothing,92327.80
3758,Clothing,49332.30
3759,Clothing,66444.50
3761,Clothing,19864.10
3762,Clothing,120559.90
3764,Clothing,29867.60
3770,Clothing,16085.00
3774,Clothing,49583.90
3777,Clothing,77696.30
3782,Clothing,75900.80
3784,Clothing,38434.70
3786,Clothing,16563.80
3789,Clothing,33509.90
3791,Clothing,62272.10
3797,Clothing,146477.40
3804,Clothing,25985.90
3805,Clothing,168667.10
3806,Clothing,81862.60
3807,Clothing,14563.10
3808,Clothing,83698.40
3813,Clothing,31030.40
3818,Clothing,28892.90
3819,Clothing,14699.90
3822,Clothing,26550.20
3828,Clothing,33458.60
3830,Clothing,30568.70
3832,Clothing,149253.70
3841,Clothing,29029.70
3845,Clothing,40070.20
3847,Clothing,37066.70
3850,Clothing,116210.40
3852,Clothing,81321.50
3853,Clothing,15606.20
3854,Clothing,29098.10
3863,Clothing,81954.20
3866,Clothing,66359.00
3867,Clothing,25712.30
3869,Clothing,33595.40
3872,Clothing,16016.60
3873,Clothing,63315.20
3875,Clothing,35852.60
3876,Clothing,87129.40
3877,Clothing,110652.90
3880,Clothing,80517.80
3881,Clothing,46534.00
3882,Clothing,19881.20
3886,Clothing,13691.00
3887,Clothing,72429.50
3888,Clothing,24070.70
3890,Clothing,71865.20
3891,Clothing,60733.10
3892,Clothing,22873.70
3893,Clothing,45131.80
3894,Clothing,17213.60
3896,Clothing,65880.20
3898,Clothing,11461.90
3899,Clothing,79827.70
3902,Clothing,74595.10
3903,Clothing,83202.50
3904,Clothing,79526.00
3906,Clothing,68718.80
3907,Clothing,69106.00
3910,Clothing,1002.80
3911,Clothing,25250.60
3912,Clothing,60596.30
3914,Clothing,80244.20
3915,Clothing,74441.20
3916,Clothing,60887.00
3920,Clothing,16546.70
3922,Clothing,31013.30
3924,Clothing,99236.20
3925,Clothing,7945.40
3927,Clothing,73848.80
3928,Clothing,30705.50
3929,Clothing,45194.10
3930,Clothing,111565.30
3931,Clothing,29679.50
3933,Clothing,45565.40
3934,Clothing,130437.60
3935,Clothing,16153.40
3937,Clothing,24224.60
3940,Clothing,48506.60
3942,Clothing,10407.80
3944,Clothing,43068.80
3947,Clothing,70651.10
3948,Clothing,110453.80
3950,Clothing,69214.70
3953,Clothing,62631.20
3955,Clothing,83801.00
3962,Clothing,32295.80
3963,Clothing,34461.40
3966,Clothing,14426.30
3967,Clothing,37562.60
3968,Clothing,7552.10
3969,Clothing,80175.80
3970,Clothing,52467.70
3973,Clothing,63001.30
3976,Clothing,1498.70
3977,Clothing,166604.10
3978,Clothing,36519.50
3979,Clothing,92857.90
3980,Clothing,34792.40
3983,Clothing,65418.50
3985,Clothing,23643.20
3988,Clothing,75199.70
3989,Clothing,159975.40
3990,Clothing,51629.80
3991,Clothing,60989.60
3993,Clothing,16922.90
3994,Clothing,40298.60
3996,Clothing,21967.40
3998,Clothing,79058.20
4008,Clothing,55397.90
4021,Clothing,73472.60
4022,Clothing,17384.60
4023,Clothing,41991.50
4024,Clothing,16495.40
4025,Clothing,79526.00
4028,Clothing,50387.60
4029,Clothing,12015.20
4030,Clothing,17384.60
4032,Clothing,145417.20
4035,Clothing,171734.10
4039,Clothing,23660.30
4042,Clothing,87693.70
4046,Clothing,113.60
4047,Clothing,44864.30
4048,Clothing,23831.30
4052,Clothing,36365.60
4053,Clothing,2370.80
4055,Clothing,24908.60
4059,Clothing,2405.00
4061,Clothing,27029.00
4062,Clothing,72976.70
4065,Clothing,21591.20
4066,Clothing,78397.40
4068,Clothing,5927.60
4071,Clothing,78596.50
4076,Clothing,24908.60
4077,Clothing,17247.80
4082,Clothing,64027.30
4086,Clothing,52929.40
4090,Clothing,2747.00
4093,Clothing,64597.70
4097,Clothing,75672.40
4099,Clothing,34040.00
4101,Clothing,22873.70
4102,Clothing,77456.90
4106,Clothing,157119.70
4107,Clothing,92122.60
4110,Clothing,76465.10
4113,Clothing,41888.90
4115,Clothing,2832.50
4117,Clothing,80597.20
4119,Clothing,20223.20
4120,Clothing,8999.50
4121,Clothing,75781.10
4122,Clothing,37066.70
4123,Clothing,71506.10
4126,Clothing,80432.30
4131,Clothing,26191.10
4132,Clothing,30825.20
4133,Clothing,14768.30
4134,Clothing,29217.80
4137,Clothing,61468.40
4138,Clothing,22788.20
4141,Clothing,82946.00
4142,Clothing,82809.20
4144,Clothing,124270.60
4146,Clothing,82193.60
4147,Clothing,51168.10
4149,Clothing,60898.00
4150,Clothing,66615.50
4151,Clothing,80894.00
4152,Clothing,4166.30
4153,Clothing,11211.50
4158,Clothing,23660.30
4160,Clothing,23814.20
4163,Clothing,16375.70
4165,Clothing,18769.70
4169,Clothing,250439.30
4170,Clothing,34416.20
4173,Clothing,25176.10
4175,Clothing,53448.50
4176,Clothing,92208.10
4177,Clothing,50227.60
4181,Clothing,51499.10
4182,Clothing,56582.70
4183,Clothing,114882.70
4190,Clothing,40931.30
4191,Clothing,13468.70
4192,Clothing,66820.70
4193,Clothing,72679.90
4194,Clothing,132119.50
4196,Clothing,43958.00
4200,Clothing,67795.40
4201,Clothing,24703.40
4202,Clothing,100467.40
4208,Clothing,5243.60
4211,Clothing,40298.60
4213,Clothing,61605.20
4218,Clothing,75764.00
4219,Clothing,48215.90
4221,Clothing,71967.80
4223,Clothing,40127.60
4227,Clothing,64751.60
4230,Clothing,30004.40
4231,Clothing,145474.60
4233,Clothing,45753.50
4235,Clothing,50883.50
4236,Clothing,11485.10
4238,Clothing,25284.80
4242,Clothing,57467.00
4244,Clothing,32159.00
4245,Clothing,96585.70
4253,Clothing,124578.40
4256,Clothing,26698.00
4258,Clothing,190629.60
4260,Clothing,43034.60
4264,Clothing,30449.00
4266,Clothing,123039.40
4267,Clothing,85340.00
4271,Clothing,28756.10
4272,Clothing,66581.30
4276,Clothing,31594.70
4277,Clothing,130854.10
4278,Clothing,112693.90
4279,Clothing,67778.30
4287,Clothing,81885.80
4288,Clothing,40127.60
4289,Clothing,58373.30
4290,Clothing,23916.80
4291,Clothing,45268.60
4293,Clothing,13092.50
4296,Clothing,81714.80
4297,Clothing,59416.40
4299,Clothing,55340.50
4300,Clothing,83117.00
4301,Clothing,27593.30
4304,Clothing,35989.40
4305,Clothing,29730.80
4306,Clothing,118627.60
4308,Clothing,60613.40
4309,Clothing,93507.70
4310,Clothing,23369.60
4313,Clothing,89506.30
4314,Clothing,84587.60
4318,Clothing,157113.60
4320,Clothing,53955.40
4322,Clothing,164552.10
4323,Clothing,31817.00
4328,Clothing,57723.50
4330,Clothing,194237.70
4332,Clothing,53602.40
4335,Clothing,37545.50
4336,Clothing,49737.80
4343,Clothing,46471.70
4344,Clothing,63349.40
4346,Clothing,24304.00
4348,Clothing,56150.30
4349,Clothing,99013.90
4350,Clothing,83288.00
4351,Clothing,3550.70
4352,Clothing,73261.30
4355,Clothing,55603.10
4357,Clothing,77564.40
4359,Clothing,41786.30
4366,Clothing,86907.10
4367,Clothing,50062.70
4368,Clothing,47104.40
4370,Clothing,39683.00
4371,Clothing,63263.90
4372,Clothing,128710.50
4373,Clothing,12442.70
4374,Clothing,72201.10
4379,Clothing,57700.30
4380,Clothing,167595.90
4382,Clothing,31098.80
4383,Clothing,66615.50
4384,Clothing,82974.10
4387,Clothing,145782.40
4388,Clothing,10595.90
4389,Clothing,208618.80
4391,Clothing,34963.40
4394,Clothing,66017.00
4398,Clothing,3738.80
4399,Clothing,20240.30
4401,Clothing,27559.10
4406,Clothing,87574.00
4407,Clothing,111360.10
4408,Clothing,141746.80
4409,Clothing,68456.20
4411,Clothing,438.50
4412,Clothing,72002.00
4415,Clothing,197691.90
4416,Clothing,118867.00
4418,Clothing,56520.40
4419,Clothing,54850.70
4422,Clothing,36793.10
4423,Clothing,73216.10
4430,Clothing,64597.70
4431,Clothing,34843.70
4435,Clothing,11587.70
4437,Clothing,57809.00
4438,Clothing,63582.70
4443,Clothing,105050.20
4446,Clothing,86667.70
4447,Clothing,120782.20
4448,Clothing,147389.80
4449,Clothing,34809.50
4450,Clothing,60128.50
4451,Clothing,72115.60
4452,Clothing,15486.50
4455,Clothing,90874.30
4458,Clothing,67396.00
4463,Clothing,47087.30
4464,Clothing,70941.80
4466,Clothing,23403.80
4467,Clothing,85528.10
4468,Clothing,35886.80
4470,Clothing,16409.90
4471,Clothing,152468.50
4472,Clothing,80705.90
4478,Clothing,70634.00
4483,Clothing,48312.40
4484,Clothing,68582.00
4486,Clothing,74720.90
4487,Clothing,37186.40
4491,Clothing,22377.80
4493,Clothing,85100.60
4494,Clothing,15247.10
4496,Clothing,27456.50
4499,Clothing,66102.50
4502,Clothing,114677.50
4506,Clothing,62819.30
4507,Clothing,34375.90
4511,Clothing,117287.70
4519,Clothing,34450.40
4521,Clothing,55244.00
4523,Clothing,22480.40
4524,Clothing,121220.70
4525,Clothing,158464.50
4528,Clothing,19060.40
4530,Clothing,57261.80
